student,title,type,status,final score
advisorj,P01D06,GROUP,FAILED,0
almedace,P01D06,GROUP,FAILED,0
amadagra,P01D06,GROUP,FAILED,0
amandaci,P01D06,GROUP,FAILED,0
anyamode,P01D06,GROUP,FAILED,0
arethari,P01D06,GROUP,FAILED,0
artieulr,P01D06,GROUP,FAILED,0
auradaba,P01D06,GROUP,FAILED,0
baileyre,P01D06,GROUP,FAILED,0
balonchr,P01D06,GROUP,FAILED,0
balonsno,P01D06,GROUP,FAILED,0
bantamko,P01D06,GROUP,IN_REVIEWS,None
barbrawu,P01D06,GROUP,FAILED,0
bethelgr,P01D06,GROUP,IN_REVIEWS,None
billysan,P01D06,GROUP,FAILED,0
bornpatr,P01D06,GROUP,FAILED,0
brentonc,P01D06,GROUP,FAILED,0
brucetoy,P01D06,GROUP,FAILED,0
brunavan,P01D06,GROUP,FAILED,0
caitdumb,P01D06,GROUP,FAILED,0
caladanl,P01D06,GROUP,FAILED,0
careymis,P01D06,GROUP,FAILED,0
caswelld,P01D06,GROUP,FAILED,0
caswellq,P01D06,GROUP,FAILED,0
celsafer,P01D06,GROUP,ACCEPTED,150
chesthil,P01D06,GROUP,FAILED,0
chestshr,P01D06,GROUP,FAILED,0
cindiese,P01D06,GROUP,FAILED,0
cotterge,P01D06,GROUP,FAILED,0
crowbrya,P01D06,GROUP,FAILED,0
cumquatl,P01D06,GROUP,FAILED,0
cyrusgar,P01D06,GROUP,FAILED,0
darcytaj,P01D06,GROUP,FAILED,0
daynasar,P01D06,GROUP,FAILED,0
deodatth,P01D06,GROUP,FAILED,0
desperop,P01D06,GROUP,FAILED,0
dhansakp,P01D06,GROUP,FAILED,0
dianeevi,P01D06,GROUP,FAILED,0
diedraje,P01D06,GROUP,FAILED,0
diedrero,P01D06,GROUP,FAILED,0
dorrisst,P01D06,GROUP,FAILED,0
effietif,P01D06,GROUP,FAILED,0
eladiare,P01D06,GROUP,IN_REVIEWS,None
elannama,P01D06,GROUP,FAILED,0
elijahth,P01D06,GROUP,FAILED,0
ellabaie,P01D06,GROUP,FAILED,0
elliottd,P01D06,GROUP,FAILED,0
enokiatk,P01D06,GROUP,FAILED,0
erenacla,P01D06,GROUP,FAILED,0
essieale,P01D06,GROUP,FAILED,0
ethicalc,P01D06,GROUP,IN_REVIEWS,None
eulaurro,P01D06,GROUP,FAILED,0
evenstar,P01D06,GROUP,FAILED,0
farrahro,P01D06,GROUP,FAILED,0
fenrircr,P01D06,GROUP,FAILED,0
flammezo,P01D06,GROUP,FAILED,0
fletamal,P01D06,GROUP,IN_REVIEWS,None
frynneli,P01D06,GROUP,FAILED,0
galinagl,P01D06,GROUP,IN_REVIEWS,None
gauntter,P01D06,GROUP,FAILED,0
geroldke,P01D06,GROUP,FAILED,0
gerstens,P01D06,GROUP,FAILED,0
gladisde,P01D06,GROUP,FAILED,0
gruntinf,P01D06,GROUP,FAILED,0
haywardt,P01D06,GROUP,FAILED,0
hilaryle,P01D06,GROUP,FAILED,0
hothoreg,P01D06,GROUP,IN_REVIEWS,None
howdjese,P01D06,GROUP,FAILED,0
ibleelec,P01D06,GROUP,IN_REVIEWS,None
illaoiar,P01D06,GROUP,FAILED,0
isaacshe,P01D06,GROUP,FAILED,0
jamissaf,P01D06,GROUP,FAILED,0
jasperal,P01D06,GROUP,FAILED,0
jeramymi,P01D06,GROUP,FAILED,0
joanacla,P01D06,GROUP,FAILED,0
johnnyge,P01D06,GROUP,FAILED,0
johnsien,P01D06,GROUP,FAILED,0
jothskin,P01D06,GROUP,FAILED,0
jovansha,P01D06,GROUP,FAILED,0
judicarm,P01D06,GROUP,FAILED,0
kaciemag,P01D06,GROUP,FAILED,0
kafkanor,P01D06,GROUP,FAILED,0
karinwin,P01D06,GROUP,FAILED,0
kelleeta,P01D06,GROUP,FAILED,0
keytarni,P01D06,GROUP,FAILED,0
kitschel,P01D06,GROUP,ACCEPTED,150
kramerpe,P01D06,GROUP,FAILED,0
kriskath,P01D06,GROUP,FAILED,0
laciedel,P01D06,GROUP,FAILED,0
lacyshin,P01D06,GROUP,FAILED,0
ladderpe,P01D06,GROUP,FAILED,0
lainepab,P01D06,GROUP,FAILED,0
lainepro,P01D06,GROUP,FAILED,0
lalakrys,P01D06,GROUP,FAILED,0
lannithe,P01D06,GROUP,FAILED,0
largomor,P01D06,GROUP,ACCEPTED,90
likttrad,P01D06,GROUP,FAILED,0
lomokraz,P01D06,GROUP,FAILED,0
lonnalar,P01D06,GROUP,FAILED,0
lopeshig,P01D06,GROUP,FAILED,0
lordarde,P01D06,GROUP,FAILED,0
loreanko,P01D06,GROUP,FAILED,0
loreleir,P01D06,GROUP,FAILED,0
luthorsh,P01D06,GROUP,FAILED,0
magdacer,P01D06,GROUP,FAILED,0
mahialmo,P01D06,GROUP,FAILED,0
malleonc,P01D06,GROUP,IN_REVIEWS,None
mandakar,P01D06,GROUP,FAILED,0
marquisd,P01D06,GROUP,FAILED,0
mashacar,P01D06,GROUP,FAILED,0
matchpar,P01D06,GROUP,FAILED,0
matildae,P01D06,GROUP,FAILED,0
maulange,P01D06,GROUP,IN_REVIEWS,None
mellieja,P01D06,GROUP,FAILED,0
millydav,P01D06,GROUP,FAILED,0
minellar,P01D06,GROUP,FAILED,0
missmath,P01D06,GROUP,FAILED,0
mollensh,P01D06,GROUP,FAILED,0
mormontl,P01D06,GROUP,FAILED,0
muckstri,P01D06,GROUP,FAILED,0
mudcraby,P01D06,GROUP,FAILED,0
nailsmar,P01D06,GROUP,FAILED,0
naomanub,P01D06,GROUP,FAILED,0
ninfasee,P01D06,GROUP,FAILED,0
nonastar,P01D06,GROUP,ACCEPTED,74
nonawait,P01D06,GROUP,FAILED,0
norreyma,P01D06,GROUP,FAILED,0
okraeuni,P01D06,GROUP,FAILED,0
opalreel,P01D06,GROUP,FAILED,0
orionmet,P01D06,GROUP,FAILED,0
parvatir,P01D06,GROUP,FAILED,0
pearliec,P01D06,GROUP,FAILED,0
pepitasl,P01D06,GROUP,FAILED,0
qarlforn,P01D06,GROUP,FAILED,0
ramsaydr,P01D06,GROUP,FAILED,0
raymondk,P01D06,GROUP,FAILED,0
reathabo,P01D06,GROUP,FAILED,0
rendadew,P01D06,GROUP,FAILED,0
richtyre,P01D06,GROUP,FAILED,0
rinkofle,P01D06,GROUP,FAILED,0
rockypot,P01D06,GROUP,FAILED,0
rogantom,P01D06,GROUP,FAILED,0
rosaural,P01D06,GROUP,FAILED,0
salazarc,P01D06,GROUP,FAILED,0
salviagl,P01D06,GROUP,FAILED,0
scheinsh,P01D06,GROUP,FAILED,0
seastarn,P01D06,GROUP,FAILED,0
selmypai,P01D06,GROUP,FAILED,0
semeleem,P01D06,GROUP,FAILED,0
sharladi,P01D06,GROUP,FAILED,0
shawnnag,P01D06,GROUP,FAILED,0
shenrodu,P01D06,GROUP,FAILED,0
shettdee,P01D06,GROUP,FAILED,0
solegraz,P01D06,GROUP,FAILED,0
staceeca,P01D06,GROUP,IN_REVIEWS,None
steelyow,P01D06,GROUP,FAILED,0
sundaehi,P01D06,GROUP,FAILED,0
tamekath,P01D06,GROUP,FAILED,0
templema,P01D06,GROUP,ACCEPTED,90
tendantc,P01D06,GROUP,FAILED,0
terralip,P01D06,GROUP,FAILED,0
tesskyok,P01D06,GROUP,FAILED,0
tiesemoo,P01D06,GROUP,FAILED,0
tolletth,P01D06,GROUP,FAILED,0
tucodaug,P01D06,GROUP,FAILED,0
tweakcri,P01D06,GROUP,FAILED,0
veigarde,P01D06,GROUP,IN_REVIEWS,None
vinniegr,P01D06,GROUP,FAILED,0
virgenst,P01D06,GROUP,FAILED,0
vixenpro,P01D06,GROUP,FAILED,0
watersri,P01D06,GROUP,IN_REVIEWS,None
wendyken,P01D06,GROUP,FAILED,0
xerathma,P01D06,GROUP,FAILED,0
yuunacad,P01D06,GROUP,FAILED,0
yuunaela,P01D06,GROUP,FAILED,0
adrienla,P01D06,GROUP,FAILED,0
aemongli,P01D06,GROUP,FAILED,0
albinali,P01D06,GROUP,FAILED,0
alexiaki,P01D06,GROUP,FAILED,0
amymoneg,P01D06,GROUP,IN_REVIEWS,None
aprilkiz,P01D06,GROUP,FAILED,0
ardellaa,P01D06,GROUP,FAILED,0
arlettaw,P01D06,GROUP,IN_REVIEWS,None
arneldlo,P01D06,GROUP,FAILED,0
arnitaho,P01D06,GROUP,FAILED,0
arwenhel,P01D06,GROUP,FAILED,0
auroreex,P01D06,GROUP,FAILED,0
avengerm,P01D06,GROUP,FAILED,0
azzielan,P01D06,GROUP,FAILED,0
bandybry,P01D06,GROUP,FAILED,0
barbracr,P01D06,GROUP,IN_REVIEWS,None
bellyreg,P01D06,GROUP,FAILED,0
billietr,P01D06,GROUP,FAILED,0
billywil,P01D06,GROUP,FAILED,0
blaisele,P01D06,GROUP,FAILED,0
borvojor,P01D06,GROUP,FAILED,0
bradbigg,P01D06,GROUP,IN_REVIEWS,None
breamblo,P01D06,GROUP,FAILED,0
broggcas,P01D06,GROUP,FAILED,0
capersel,P01D06,GROUP,FAILED,0
carlysea,P01D06,GROUP,FAILED,0
carmelal,P01D06,GROUP,FAILED,0
casieigg,P01D06,GROUP,FAILED,0
casseydo,P01D06,GROUP,IN_REVIEWS,None
chadzula,P01D06,GROUP,IN_REVIEWS,None
chuckalf,P01D06,GROUP,FAILED,0
clockver,P01D06,GROUP,FAILED,0
collioqy,P01D06,GROUP,FAILED,0
crackedc,P01D06,GROUP,FAILED,0
dagmarja,P01D06,GROUP,FAILED,0
dagnybea,P01D06,GROUP,FAILED,0
dareonhe,P01D06,GROUP,FAILED,0
darialif,P01D06,GROUP,FAILED,0
delilagl,P01D06,GROUP,FAILED,0
dexterla,P01D06,GROUP,FAILED,0
dhazzarn,P01D06,GROUP,IN_REVIEWS,None
dodieozz,P01D06,GROUP,FAILED,0
dolliema,P01D06,GROUP,FAILED,0
donaldwi,P01D06,GROUP,FAILED,0
dwightgr,P01D06,GROUP,FAILED,0
eddawhit,P01D06,GROUP,FAILED,0
elkelync,P01D06,GROUP,FAILED,0
elletand,P01D06,GROUP,FAILED,0
faliakyl,P01D06,GROUP,FAILED,0
farlenpe,P01D06,GROUP,FAILED,0
feijoaru,P01D06,GROUP,FAILED,0
fenixfre,P01D06,GROUP,FAILED,0
fetamimi,P01D06,GROUP,FAILED,0
fisherha,P01D06,GROUP,FAILED,0
flannelf,P01D06,GROUP,FAILED,0
forthlas,P01D06,GROUP,FAILED,0
gagethem,P01D06,GROUP,FAILED,0
genjifal,P01D06,GROUP,IN_REVIEWS,None
gilwoode,P01D06,GROUP,FAILED,0
gladyspa,P01D06,GROUP,FAILED,0
gojireel,P01D06,GROUP,FAILED,0
goldeene,P01D06,GROUP,FAILED,0
gungance,P01D06,GROUP,FAILED,0
haldercy,P01D06,GROUP,FAILED,0
harclayl,P01D06,GROUP,FAILED,0
harragbe,P01D06,GROUP,FAILED,0
harwoodd,P01D06,GROUP,FAILED,0
hedygaly,P01D06,GROUP,FAILED,0
hungsher,P01D06,GROUP,FAILED,0
ilynfitz,P01D06,GROUP,FAILED,0
imogenek,P01D06,GROUP,FAILED,0
jamisonr,P01D06,GROUP,FAILED,0
janessav,P01D06,GROUP,FAILED,0
jaymeoda,P01D06,GROUP,FAILED,0
jeannaha,P01D06,GROUP,FAILED,0
jennellb,P01D06,GROUP,FAILED,0
jeorsoli,P01D06,GROUP,FAILED,0
jesslawa,P01D06,GROUP,FAILED,0
