student,title,type,status,final score
abbyjere,E02D12,EXAM,FAILED,0
albettbu,E02D12,EXAM,FAILED,0
althease,E02D12,EXAM,FAILED,0
aqualada,E02D12,EXAM,FAILED,0
ariellem,E02D12,EXAM,FAILED,0
arlethab,E02D12,EXAM,FAILED,0
arwynjac,E02D12,EXAM,FAILED,0
ayakofuj,E02D12,EXAM,FAILED,0
barbafra,E02D12,EXAM,FAILED,0
brittnib,E02D12,EXAM,FAILED,0
chongvir,E02D12,EXAM,FAILED,0
cindalig,E02D12,EXAM,FAILED,0
claudeco,E02D12,EXAM,FAILED,0
colettac,E02D12,EXAM,FAILED,0
connorla,E02D12,EXAM,FAILED,0
coraleey,E02D12,EXAM,FAILED,0
donaljac,E02D12,EXAM,FAILED,0
dougalmo,E02D12,EXAM,FAILED,0
ellarias,E02D12,EXAM,FAILED,0
emelyaur,E02D12,EXAM,FAILED,0
eorlundw,E02D12,EXAM,FAILED,0
flaviama,E02D12,EXAM,FAILED,0
galbartt,E02D12,EXAM,FAILED,0
goldenun,E02D12,EXAM,FAILED,0
halistic,E02D12,EXAM,FAILED,0
harlangu,E02D12,EXAM,FAILED,0
hazraksa,E02D12,EXAM,FAILED,0
hettiewa,E02D12,EXAM,FAILED,0
hizdahrs,E02D12,EXAM,FAILED,0
hoppered,E02D12,EXAM,FAILED,0
illaoigl,E02D12,EXAM,FAILED,0
jameyadr,E02D12,EXAM,FAILED,0
janaespy,E02D12,EXAM,FAILED,0
jestwhis,E02D12,EXAM,FAILED,0
jettaduu,E02D12,EXAM,FAILED,0
johniebl,E02D12,EXAM,FAILED,0
johnieer,E02D12,EXAM,FAILED,0
karrieco,E02D12,EXAM,FAILED,0
kathyblu,E02D12,EXAM,FAILED,0
leotasch,E02D12,EXAM,FAILED,0
magobarb,E02D12,EXAM,FAILED,0
managiml,E02D12,EXAM,FAILED,0
martiank,E02D12,EXAM,FAILED,0
marvinad,E02D12,EXAM,FAILED,0
meadowsl,E02D12,EXAM,FAILED,0
meralynl,E02D12,EXAM,FAILED,0
micahann,E02D12,EXAM,FAILED,0
mikkirub,E02D12,EXAM,FAILED,0
moniquec,E02D12,EXAM,FAILED,0
motherka,E02D12,EXAM,FAILED,0
namikari,E02D12,EXAM,FAILED,0
norahara,E02D12,EXAM,FAILED,0
onionflo,E02D12,EXAM,FAILED,0
orientba,E02D12,EXAM,FAILED,0
pallasar,E02D12,EXAM,FAILED,6
palmasev,E02D12,EXAM,FAILED,0
randalci,E02D12,EXAM,FAILED,0
rivaharm,E02D12,EXAM,ACCEPTED,100
roonemac,E02D12,EXAM,FAILED,0
rygerbee,E02D12,EXAM,FAILED,0
salviama,E02D12,EXAM,FAILED,0
santanao,E02D12,EXAM,FAILED,0
savannat,E02D12,EXAM,FAILED,0
shandage,E02D12,EXAM,FAILED,0
slavetar,E02D12,EXAM,FAILED,0
sloeycar,E02D12,EXAM,FAILED,0
slowmose,E02D12,EXAM,FAILED,0
snokeepi,E02D12,EXAM,FAILED,0
sonyashi,E02D12,EXAM,FAILED,0
staceelu,E02D12,EXAM,FAILED,0
stevenha,E02D12,EXAM,FAILED,0
tarthden,E02D12,EXAM,FAILED,0
tickhung,E02D12,EXAM,FAILED,0
tonieirw,E02D12,EXAM,FAILED,0
tylergar,E02D12,EXAM,FAILED,0
ulmeraet,E02D12,EXAM,FAILED,0
ummadesh,E02D12,EXAM,FAILED,0
valerial,E02D12,EXAM,FAILED,0
venonats,E02D12,EXAM,FAILED,9
vinniere,E02D12,EXAM,FAILED,0
vitischa,E02D12,EXAM,FAILED,0
wakamera,E02D12,EXAM,FAILED,0
warnercr,E02D12,EXAM,FAILED,0
worthyty,E02D12,EXAM,FAILED,0
wyldevir,E02D12,EXAM,FAILED,0
zettatyp,E02D12,EXAM,FAILED,0
abbottse,E02D12,EXAM,FAILED,0
andisshi,E02D12,EXAM,FAILED,0
aricatop,E02D12,EXAM,FAILED,9
arsontye,E02D12,EXAM,FAILED,0
bakerern,E02D12,EXAM,FAILED,0
