student,title,type,status,final score
abbyjere,T05D08,INDIVIDUAL,FAILED,0
albettbu,T05D08,INDIVIDUAL,FAILED,0
althease,T05D08,INDIVIDUAL,FAILED,0
aqualada,T05D08,INDIVIDUAL,FAILED,0
ariellem,T05D08,INDIVIDUAL,FAILED,0
arlethab,T05D08,INDIVIDUAL,FAILED,0
arwynjac,T05D08,INDIVIDUAL,FAILED,0
ayakofuj,T05D08,INDIVIDUAL,FAILED,0
barbafra,T05D08,INDIVIDUAL,FAILED,0
brittnib,T05D08,INDIVIDUAL,FAILED,0
chongvir,T05D08,INDIVIDUAL,FAILED,0
cindalig,T05D08,INDIVIDUAL,FAILED,0
claudeco,T05D08,INDIVIDUAL,FAILED,0
colettac,T05D08,INDIVIDUAL,FAILED,0
connorla,T05D08,INDIVIDUAL,FAILED,0
coraleey,T05D08,INDIVIDUAL,FAILED,0
donaljac,T05D08,INDIVIDUAL,FAILED,0
dougalmo,T05D08,INDIVIDUAL,FAILED,0
ellarias,T05D08,INDIVIDUAL,FAILED,0
emelyaur,T05D08,INDIVIDUAL,ACCEPTED,91
eorlundw,T05D08,INDIVIDUAL,FAILED,0
flaviama,T05D08,INDIVIDUAL,FAILED,0
galbartt,T05D08,INDIVIDUAL,FAILED,0
goldenun,T05D08,INDIVIDUAL,FAILED,0
halistic,T05D08,INDIVIDUAL,FAILED,0
harlangu,T05D08,INDIVIDUAL,FAILED,0
hazraksa,T05D08,INDIVIDUAL,FAILED,0
hettiewa,T05D08,INDIVIDUAL,FAILED,0
hizdahrs,T05D08,INDIVIDUAL,FAILED,0
hoppered,T05D08,INDIVIDUAL,FAILED,0
illaoigl,T05D08,INDIVIDUAL,FAILED,0
jameyadr,T05D08,INDIVIDUAL,FAILED,0
janaespy,T05D08,INDIVIDUAL,FAILED,0
jestwhis,T05D08,INDIVIDUAL,FAILED,0
jettaduu,T05D08,INDIVIDUAL,FAILED,0
johniebl,T05D08,INDIVIDUAL,FAILED,0
johnieer,T05D08,INDIVIDUAL,FAILED,0
karrieco,T05D08,INDIVIDUAL,FAILED,0
kathyblu,T05D08,INDIVIDUAL,FAILED,0
leotasch,T05D08,INDIVIDUAL,FAILED,0
magobarb,T05D08,INDIVIDUAL,FAILED,0
managiml,T05D08,INDIVIDUAL,FAILED,0
martiank,T05D08,INDIVIDUAL,FAILED,0
marvinad,T05D08,INDIVIDUAL,FAILED,0
meadowsl,T05D08,INDIVIDUAL,FAILED,0
meralynl,T05D08,INDIVIDUAL,ACCEPTED,87
micahann,T05D08,INDIVIDUAL,FAILED,0
mikkirub,T05D08,INDIVIDUAL,FAILED,0
moniquec,T05D08,INDIVIDUAL,FAILED,0
motherka,T05D08,INDIVIDUAL,FAILED,0
namikari,T05D08,INDIVIDUAL,FAILED,0
norahara,T05D08,INDIVIDUAL,FAILED,0
