student,title,type,status,final score
advisorj,E02D12,EXAM,FAILED,0
almedace,E02D12,EXAM,FAILED,0
amadagra,E02D12,EXAM,FAILED,3
amandaci,E02D12,EXAM,ACCEPTED,87
anyamode,E02D12,EXAM,FAILED,34
arethari,E02D12,EXAM,FAILED,0
artieulr,E02D12,EXAM,FAILED,9
auradaba,E02D12,EXAM,FAILED,0
baileyre,E02D12,EXAM,FAILED,0
balonchr,E02D12,EXAM,FAILED,0
balonsno,E02D12,EXAM,FAILED,0
bantamko,E02D12,EXAM,FAILED,3
barbrawu,E02D12,EXAM,FAILED,0
bethelgr,E02D12,EXAM,FAILED,0
billysan,E02D12,EXAM,FAILED,0
bornpatr,E02D12,EXAM,FAILED,0
brentonc,E02D12,EXAM,FAILED,25
brucetoy,E02D12,EXAM,FAILED,0
brunavan,E02D12,EXAM,FAILED,0
caitdumb,E02D12,EXAM,FAILED,0
caladanl,E02D12,EXAM,FAILED,0
careymis,E02D12,EXAM,FAILED,0
caswelld,E02D12,EXAM,FAILED,0
caswellq,E02D12,EXAM,FAILED,34
celsafer,E02D12,EXAM,FAILED,0
chesthil,E02D12,EXAM,FAILED,0
chestshr,E02D12,EXAM,FAILED,24
cindiese,E02D12,EXAM,FAILED,0
cotterge,E02D12,EXAM,FAILED,0
crowbrya,E02D12,EXAM,FAILED,0
cumquatl,E02D12,EXAM,FAILED,0
cyrusgar,E02D12,EXAM,FAILED,0
darcytaj,E02D12,EXAM,FAILED,0
daynasar,E02D12,EXAM,FAILED,0
deodatth,E02D12,EXAM,FAILED,0
desperop,E02D12,EXAM,FAILED,0
dhansakp,E02D12,EXAM,FAILED,0
dianeevi,E02D12,EXAM,FAILED,0
diedraje,E02D12,EXAM,FAILED,0
diedrero,E02D12,EXAM,FAILED,0
dorrisst,E02D12,EXAM,FAILED,0
effietif,E02D12,EXAM,FAILED,0
eladiare,E02D12,EXAM,FAILED,9
elannama,E02D12,EXAM,FAILED,0
elijahth,E02D12,EXAM,FAILED,0
ellabaie,E02D12,EXAM,FAILED,0
elliottd,E02D12,EXAM,ACCEPTED,58
enokiatk,E02D12,EXAM,FAILED,0
erenacla,E02D12,EXAM,FAILED,0
essieale,E02D12,EXAM,FAILED,0
ethicalc,E02D12,EXAM,FAILED,0
eulaurro,E02D12,EXAM,FAILED,0
evenstar,E02D12,EXAM,FAILED,0
farrahro,E02D12,EXAM,FAILED,0
fenrircr,E02D12,EXAM,FAILED,0
flammezo,E02D12,EXAM,FAILED,0
fletamal,E02D12,EXAM,FAILED,0
frynneli,E02D12,EXAM,FAILED,16
galinagl,E02D12,EXAM,FAILED,0
gauntter,E02D12,EXAM,FAILED,0
geroldke,E02D12,EXAM,FAILED,0
gerstens,E02D12,EXAM,FAILED,0
gladisde,E02D12,EXAM,FAILED,9
gruntinf,E02D12,EXAM,FAILED,0
haywardt,E02D12,EXAM,FAILED,0
hilaryle,E02D12,EXAM,FAILED,6
hothoreg,E02D12,EXAM,FAILED,0
howdjese,E02D12,EXAM,FAILED,0
ibleelec,E02D12,EXAM,ACCEPTED,69
illaoiar,E02D12,EXAM,FAILED,0
isaacshe,E02D12,EXAM,FAILED,0
jamissaf,E02D12,EXAM,FAILED,6
jasperal,E02D12,EXAM,FAILED,0
jeramymi,E02D12,EXAM,FAILED,0
joanacla,E02D12,EXAM,FAILED,0
johnnyge,E02D12,EXAM,FAILED,0
johnsien,E02D12,EXAM,FAILED,0
jothskin,E02D12,EXAM,FAILED,0
jovansha,E02D12,EXAM,FAILED,9
judicarm,E02D12,EXAM,FAILED,29
kaciemag,E02D12,EXAM,FAILED,0
kafkanor,E02D12,EXAM,FAILED,0
karinwin,E02D12,EXAM,FAILED,0
kelleeta,E02D12,EXAM,FAILED,24
keytarni,E02D12,EXAM,FAILED,0
kitschel,E02D12,EXAM,FAILED,0
kramerpe,E02D12,EXAM,FAILED,3
kriskath,E02D12,EXAM,FAILED,0
laciedel,E02D12,EXAM,FAILED,9
lacyshin,E02D12,EXAM,FAILED,0
ladderpe,E02D12,EXAM,FAILED,0
lainepab,E02D12,EXAM,FAILED,0
lainepro,E02D12,EXAM,FAILED,0
lalakrys,E02D12,EXAM,ACCEPTED,44
lannithe,E02D12,EXAM,FAILED,0
largomor,E02D12,EXAM,FAILED,12
likttrad,E02D12,EXAM,FAILED,0
lomokraz,E02D12,EXAM,FAILED,0
lonnalar,E02D12,EXAM,FAILED,0
lopeshig,E02D12,EXAM,FAILED,0
lordarde,E02D12,EXAM,FAILED,0
loreanko,E02D12,EXAM,FAILED,16
loreleir,E02D12,EXAM,FAILED,9
luthorsh,E02D12,EXAM,FAILED,0
magdacer,E02D12,EXAM,FAILED,0
mahialmo,E02D12,EXAM,FAILED,0
malleonc,E02D12,EXAM,FAILED,24
mandakar,E02D12,EXAM,FAILED,0
marquisd,E02D12,EXAM,FAILED,0
mashacar,E02D12,EXAM,FAILED,0
matchpar,E02D12,EXAM,FAILED,0
matildae,E02D12,EXAM,FAILED,0
maulange,E02D12,EXAM,FAILED,0
mellieja,E02D12,EXAM,FAILED,0
millydav,E02D12,EXAM,FAILED,0
minellar,E02D12,EXAM,FAILED,0
missmath,E02D12,EXAM,FAILED,0
mollensh,E02D12,EXAM,FAILED,0
mormontl,E02D12,EXAM,FAILED,0
muckstri,E02D12,EXAM,FAILED,0
mudcraby,E02D12,EXAM,FAILED,0
nailsmar,E02D12,EXAM,FAILED,3
naomanub,E02D12,EXAM,FAILED,0
ninfasee,E02D12,EXAM,FAILED,0
nonastar,E02D12,EXAM,FAILED,9
nonawait,E02D12,EXAM,FAILED,0
norreyma,E02D12,EXAM,FAILED,3
okraeuni,E02D12,EXAM,FAILED,0
opalreel,E02D12,EXAM,FAILED,0
orionmet,E02D12,EXAM,FAILED,3
parvatir,E02D12,EXAM,FAILED,0
pearliec,E02D12,EXAM,FAILED,0
pepitasl,E02D12,EXAM,FAILED,0
qarlforn,E02D12,EXAM,FAILED,0
ramsaydr,E02D12,EXAM,FAILED,0
raymondk,E02D12,EXAM,FAILED,9
reathabo,E02D12,EXAM,FAILED,0
rendadew,E02D12,EXAM,FAILED,0
richtyre,E02D12,EXAM,ACCEPTED,52
rinkofle,E02D12,EXAM,FAILED,0
rockypot,E02D12,EXAM,FAILED,0
rogantom,E02D12,EXAM,FAILED,0
rosaural,E02D12,EXAM,FAILED,0
salazarc,E02D12,EXAM,FAILED,20
salviagl,E02D12,EXAM,FAILED,0
scheinsh,E02D12,EXAM,FAILED,0
seastarn,E02D12,EXAM,FAILED,0
selmypai,E02D12,EXAM,FAILED,0
semeleem,E02D12,EXAM,FAILED,0
sharladi,E02D12,EXAM,FAILED,0
shawnnag,E02D12,EXAM,FAILED,0
shenrodu,E02D12,EXAM,FAILED,0
shettdee,E02D12,EXAM,FAILED,0
solegraz,E02D12,EXAM,FAILED,9
staceeca,E02D12,EXAM,FAILED,24
steelyow,E02D12,EXAM,FAILED,0
sundaehi,E02D12,EXAM,FAILED,0
tamekath,E02D12,EXAM,FAILED,0
templema,E02D12,EXAM,ACCEPTED,69
tendantc,E02D12,EXAM,FAILED,0
terralip,E02D12,EXAM,FAILED,0
tesskyok,E02D12,EXAM,FAILED,0
tiesemoo,E02D12,EXAM,FAILED,0
tolletth,E02D12,EXAM,FAILED,0
tucodaug,E02D12,EXAM,FAILED,0
tweakcri,E02D12,EXAM,FAILED,0
veigarde,E02D12,EXAM,FAILED,9
vinniegr,E02D12,EXAM,FAILED,0
virgenst,E02D12,EXAM,FAILED,0
vixenpro,E02D12,EXAM,FAILED,24
watersri,E02D12,EXAM,FAILED,34
wendyken,E02D12,EXAM,FAILED,0
xerathma,E02D12,EXAM,FAILED,0
yuunacad,E02D12,EXAM,FAILED,0
yuunaela,E02D12,EXAM,FAILED,0
adrienla,E02D12,EXAM,FAILED,0
aemongli,E02D12,EXAM,FAILED,0
albinali,E02D12,EXAM,FAILED,0
alexiaki,E02D12,EXAM,FAILED,0
amymoneg,E02D12,EXAM,FAILED,0
aprilkiz,E02D12,EXAM,FAILED,24
ardellaa,E02D12,EXAM,FAILED,0
arlettaw,E02D12,EXAM,FAILED,0
arneldlo,E02D12,EXAM,FAILED,0
arnitaho,E02D12,EXAM,FAILED,0
arwenhel,E02D12,EXAM,FAILED,0
auroreex,E02D12,EXAM,FAILED,0
avengerm,E02D12,EXAM,FAILED,0
azzielan,E02D12,EXAM,FAILED,0
bandybry,E02D12,EXAM,FAILED,0
barbracr,E02D12,EXAM,FAILED,0
bellyreg,E02D12,EXAM,FAILED,0
billietr,E02D12,EXAM,FAILED,0
billywil,E02D12,EXAM,FAILED,0
blaisele,E02D12,EXAM,FAILED,0
borvojor,E02D12,EXAM,FAILED,0
bradbigg,E02D12,EXAM,FAILED,9
breamblo,E02D12,EXAM,FAILED,0
broggcas,E02D12,EXAM,FAILED,3
capersel,E02D12,EXAM,FAILED,0
carlysea,E02D12,EXAM,FAILED,0
carmelal,E02D12,EXAM,FAILED,0
casieigg,E02D12,EXAM,FAILED,0
casseydo,E02D12,EXAM,FAILED,0
chadzula,E02D12,EXAM,FAILED,0
chuckalf,E02D12,EXAM,FAILED,0
clockver,E02D12,EXAM,FAILED,0
collioqy,E02D12,EXAM,FAILED,0
crackedc,E02D12,EXAM,FAILED,0
dagmarja,E02D12,EXAM,FAILED,0
dagnybea,E02D12,EXAM,FAILED,0
dareonhe,E02D12,EXAM,FAILED,0
darialif,E02D12,EXAM,FAILED,0
delilagl,E02D12,EXAM,FAILED,0
dexterla,E02D12,EXAM,FAILED,9
dhazzarn,E02D12,EXAM,FAILED,24
dodieozz,E02D12,EXAM,FAILED,0
dolliema,E02D12,EXAM,FAILED,0
donaldwi,E02D12,EXAM,FAILED,0
dwightgr,E02D12,EXAM,FAILED,0
eddawhit,E02D12,EXAM,FAILED,0
elkelync,E02D12,EXAM,FAILED,0
elletand,E02D12,EXAM,FAILED,0
faliakyl,E02D12,EXAM,FAILED,0
farlenpe,E02D12,EXAM,FAILED,0
feijoaru,E02D12,EXAM,FAILED,0
fenixfre,E02D12,EXAM,FAILED,0
fetamimi,E02D12,EXAM,FAILED,0
fisherha,E02D12,EXAM,FAILED,0
flannelf,E02D12,EXAM,FAILED,0
forthlas,E02D12,EXAM,FAILED,0
gagethem,E02D12,EXAM,FAILED,0
genjifal,E02D12,EXAM,FAILED,0
gilwoode,E02D12,EXAM,FAILED,0
gladyspa,E02D12,EXAM,FAILED,0
gojireel,E02D12,EXAM,FAILED,0
goldeene,E02D12,EXAM,FAILED,0
gungance,E02D12,EXAM,FAILED,9
