student,title,type,status,final score
advisorj,P02D13,GROUP,FAILED,0
almedace,P02D13,GROUP,FAILED,0
amadagra,P02D13,GROUP,IN_PROGRESS,None
amandaci,P02D13,GROUP,FAILED,0
anyamode,P02D13,GROUP,REGISTERED,None
arethari,P02D13,GROUP,FAILED,0
artieulr,P02D13,GROUP,IN_PROGRESS,None
auradaba,P02D13,GROUP,FAILED,0
baileyre,P02D13,GROUP,FAILED,0
balonchr,P02D13,GROUP,FAILED,0
balonsno,P02D13,GROUP,FAILED,0
bantamko,P02D13,GROUP,IN_PROGRESS,None
barbrawu,P02D13,GROUP,FAILED,0
bethelgr,P02D13,GROUP,IN_PROGRESS,None
billysan,P02D13,GROUP,FAILED,0
bornpatr,P02D13,GROUP,FAILED,0
brentonc,P02D13,GROUP,REGISTERED,None
brucetoy,P02D13,GROUP,FAILED,0
brunavan,P02D13,GROUP,FAILED,0
caitdumb,P02D13,GROUP,FAILED,0
caladanl,P02D13,GROUP,FAILED,0
careymis,P02D13,GROUP,IN_PROGRESS,None
caswelld,P02D13,GROUP,FAILED,0
caswellq,P02D13,GROUP,IN_PROGRESS,None
celsafer,P02D13,GROUP,REGISTERED,None
chesthil,P02D13,GROUP,IN_PROGRESS,None
chestshr,P02D13,GROUP,FAILED,0
cindiese,P02D13,GROUP,FAILED,0
cotterge,P02D13,GROUP,FAILED,0
crowbrya,P02D13,GROUP,REGISTERED,None
cumquatl,P02D13,GROUP,FAILED,0
cyrusgar,P02D13,GROUP,FAILED,0
darcytaj,P02D13,GROUP,FAILED,0
daynasar,P02D13,GROUP,FAILED,0
deodatth,P02D13,GROUP,FAILED,0
desperop,P02D13,GROUP,FAILED,0
dhansakp,P02D13,GROUP,FAILED,0
dianeevi,P02D13,GROUP,IN_PROGRESS,None
diedraje,P02D13,GROUP,FAILED,0
diedrero,P02D13,GROUP,FAILED,0
dorrisst,P02D13,GROUP,FAILED,0
effietif,P02D13,GROUP,FAILED,0
eladiare,P02D13,GROUP,IN_PROGRESS,None
elannama,P02D13,GROUP,FAILED,0
elijahth,P02D13,GROUP,FAILED,0
ellabaie,P02D13,GROUP,FAILED,0
elliottd,P02D13,GROUP,IN_PROGRESS,None
enokiatk,P02D13,GROUP,FAILED,0
erenacla,P02D13,GROUP,FAILED,0
essieale,P02D13,GROUP,FAILED,0
ethicalc,P02D13,GROUP,FAILED,0
eulaurro,P02D13,GROUP,FAILED,0
evenstar,P02D13,GROUP,FAILED,0
farrahro,P02D13,GROUP,FAILED,0
fenrircr,P02D13,GROUP,FAILED,0
flammezo,P02D13,GROUP,FAILED,0
fletamal,P02D13,GROUP,FAILED,0
frynneli,P02D13,GROUP,IN_PROGRESS,None
galinagl,P02D13,GROUP,IN_PROGRESS,None
gauntter,P02D13,GROUP,FAILED,0
geroldke,P02D13,GROUP,FAILED,0
gerstens,P02D13,GROUP,FAILED,0
gladisde,P02D13,GROUP,IN_PROGRESS,None
gruntinf,P02D13,GROUP,FAILED,0
haywardt,P02D13,GROUP,FAILED,0
hilaryle,P02D13,GROUP,REGISTERED,None
hothoreg,P02D13,GROUP,IN_PROGRESS,None
howdjese,P02D13,GROUP,FAILED,0
ibleelec,P02D13,GROUP,IN_PROGRESS,None
illaoiar,P02D13,GROUP,FAILED,0
isaacshe,P02D13,GROUP,FAILED,0
jamissaf,P02D13,GROUP,IN_PROGRESS,None
jasperal,P02D13,GROUP,FAILED,0
jeramymi,P02D13,GROUP,FAILED,0
joanacla,P02D13,GROUP,FAILED,0
johnnyge,P02D13,GROUP,FAILED,0
johnsien,P02D13,GROUP,FAILED,0
jothskin,P02D13,GROUP,FAILED,0
jovansha,P02D13,GROUP,IN_PROGRESS,None
judicarm,P02D13,GROUP,IN_PROGRESS,None
kaciemag,P02D13,GROUP,IN_PROGRESS,None
kafkanor,P02D13,GROUP,IN_PROGRESS,None
karinwin,P02D13,GROUP,FAILED,0
kelleeta,P02D13,GROUP,IN_PROGRESS,None
keytarni,P02D13,GROUP,FAILED,0
kitschel,P02D13,GROUP,IN_PROGRESS,None
kramerpe,P02D13,GROUP,IN_PROGRESS,None
kriskath,P02D13,GROUP,FAILED,0
laciedel,P02D13,GROUP,FAILED,0
lacyshin,P02D13,GROUP,FAILED,0
ladderpe,P02D13,GROUP,REGISTERED,None
lainepab,P02D13,GROUP,FAILED,0
lainepro,P02D13,GROUP,IN_PROGRESS,None
lalakrys,P02D13,GROUP,FAILED,0
lannithe,P02D13,GROUP,FAILED,0
largomor,P02D13,GROUP,IN_PROGRESS,None
likttrad,P02D13,GROUP,FAILED,0
lomokraz,P02D13,GROUP,FAILED,0
lonnalar,P02D13,GROUP,FAILED,0
lopeshig,P02D13,GROUP,FAILED,0
lordarde,P02D13,GROUP,FAILED,0
loreanko,P02D13,GROUP,FAILED,0
loreleir,P02D13,GROUP,IN_PROGRESS,None
luthorsh,P02D13,GROUP,FAILED,0
magdacer,P02D13,GROUP,FAILED,0
mahialmo,P02D13,GROUP,IN_PROGRESS,None
malleonc,P02D13,GROUP,IN_PROGRESS,None
mandakar,P02D13,GROUP,FAILED,0
marquisd,P02D13,GROUP,IN_PROGRESS,None
mashacar,P02D13,GROUP,IN_PROGRESS,None
matchpar,P02D13,GROUP,FAILED,0
matildae,P02D13,GROUP,FAILED,0
maulange,P02D13,GROUP,FAILED,0
mellieja,P02D13,GROUP,FAILED,0
millydav,P02D13,GROUP,FAILED,0
minellar,P02D13,GROUP,FAILED,0
missmath,P02D13,GROUP,FAILED,0
mollensh,P02D13,GROUP,FAILED,0
mormontl,P02D13,GROUP,FAILED,0
muckstri,P02D13,GROUP,FAILED,0
mudcraby,P02D13,GROUP,FAILED,0
nailsmar,P02D13,GROUP,IN_PROGRESS,None
naomanub,P02D13,GROUP,REGISTERED,None
