id,shortName,fullName
46e7d965-21e9-4936-bea9-f5ea0d1fddf2,21 Novosibirsk,Школа 21, Новосибирск
bad03b39-ffd4-4217-9d24-65535fe1f293,21 Tashkent,Школа 21, Ташкент
e561d833-400b-44f5-a6ac-951b0378a9f6,School 21 online,School 21 online
c707e947-a097-459f-8c82-5ca548e46abe,Canary 21,Canary 21
6bfe3c56-0211-4fe1-9e59-51616caac4dd,21 Moscow,Школа 21, Москва
9bc1136e-b5c8-4dd1-94e8-f94e4029c9f8,21 Test QA,Кампус Ш21 (ТЕСТ)
981e10b5-7553-406a-940e-83d34342c113,21 Belgorod,Школа 21, Белгород
5a23bec9-f989-485d-935b-3f0dc61c4812,21 Nizhny Novgorod,Школа 21, Нижний Новгород
8832e878-577e-4583-847a-d7e1db5d5507,21 Test,21 Тестовый кампус
911fbc82-b821-4636-82ee-15184a5e6cef,21 Surgut,Школа 21, Сургут
ebc4fada-4f32-4948-9ec6-8a2e73a3077a,21 Lipetsk,Школа 21, Липецк
7c293c9c-f28c-4b10-be29-560e4b000a34,21 Kazan,Школа 21, Казань
c3809b97-5910-453c-b486-8fcc58a8cc32,21 Magas,Школа 21, Магас
a4a9fa63-63c0-4e81-a5ff-e1501d74362c,21 Veliky Novgorod,Школа 21, Великий Новгород
b4b36a53-d253-4840-9000-49061d74bf50,21 Yaroslavl,Школа 21, Ярославль
07a3fa7e-2640-4330-a902-0752178df949,21 Yakutsk,Школа 21, Якутск
667a42af-5469-4a33-9858-677d9d20956a,21 Samarkand,Школа 21, Самарканд
c1f23996-0661-4fa8-ae27-6e0fb707d73e,21 Chelyabinsk,Школа 21, Челябинск
04989f19-21a3-41c0-af4e-89db4d8d4c6b,21 Sakhalin,Школа 21, Сахалин
406287c1-89e2-45d8-a1a4-0839c48cd5c7,21 VGIK,Школа 21, ВГИК
52acbcb1-f203-401e-a013-ecd0e74fb531,21 Sechenov,Школа 21 Sechenov, Москва
c3b555f4-4504-4ce4-9457-9ca75c1a354d,21 Anadyr,Школа 21, Анадырь
bfe5399d-33e9-43b4-a97f-732c39a6ddc8,21 Magadan,Школа 21, Магадан
