student,title,type,status,final score
abbyjere,E01D05,EXAM,FAILED,0
albettbu,E01D05,EXAM,FAILED,0
althease,E01D05,EXAM,FAILED,0
aqualada,E01D05,EXAM,FAILED,0
ariellem,E01D05,EXAM,FAILED,0
arlethab,E01D05,EXAM,FAILED,0
arwynjac,E01D05,EXAM,FAILED,0
ayakofuj,E01D05,EXAM,FAILED,0
barbafra,E01D05,EXAM,FAILED,0
brittnib,E01D05,EXAM,FAILED,0
chongvir,E01D05,EXAM,FAILED,0
cindalig,E01D05,EXAM,FAILED,0
claudeco,E01D05,EXAM,FAILED,0
colettac,E01D05,EXAM,FAILED,0
connorla,E01D05,EXAM,FAILED,0
coraleey,E01D05,EXAM,FAILED,0
donaljac,E01D05,EXAM,FAILED,0
dougalmo,E01D05,EXAM,FAILED,0
ellarias,E01D05,EXAM,FAILED,0
emelyaur,E01D05,EXAM,FAILED,0
eorlundw,E01D05,EXAM,FAILED,0
flaviama,E01D05,EXAM,FAILED,0
galbartt,E01D05,EXAM,FAILED,0
goldenun,E01D05,EXAM,FAILED,0
halistic,E01D05,EXAM,FAILED,0
harlangu,E01D05,EXAM,FAILED,0
hazraksa,E01D05,EXAM,FAILED,0
hettiewa,E01D05,EXAM,FAILED,0
hizdahrs,E01D05,EXAM,FAILED,0
hoppered,E01D05,EXAM,FAILED,0
illaoigl,E01D05,EXAM,FAILED,0
jameyadr,E01D05,EXAM,FAILED,0
janaespy,E01D05,EXAM,FAILED,0
jestwhis,E01D05,EXAM,FAILED,0
jettaduu,E01D05,EXAM,FAILED,0
johniebl,E01D05,EXAM,FAILED,0
johnieer,E01D05,EXAM,FAILED,0
karrieco,E01D05,EXAM,FAILED,0
kathyblu,E01D05,EXAM,FAILED,0
leotasch,E01D05,EXAM,FAILED,0
magobarb,E01D05,EXAM,FAILED,0
managiml,E01D05,EXAM,FAILED,0
martiank,E01D05,EXAM,FAILED,0
marvinad,E01D05,EXAM,FAILED,0
meadowsl,E01D05,EXAM,FAILED,0
meralynl,E01D05,EXAM,FAILED,0
micahann,E01D05,EXAM,FAILED,0
mikkirub,E01D05,EXAM,FAILED,0
moniquec,E01D05,EXAM,FAILED,0
motherka,E01D05,EXAM,FAILED,0
namikari,E01D05,EXAM,FAILED,0
norahara,E01D05,EXAM,FAILED,0
onionflo,E01D05,EXAM,FAILED,0
orientba,E01D05,EXAM,FAILED,0
pallasar,E01D05,EXAM,FAILED,0
palmasev,E01D05,EXAM,FAILED,0
randalci,E01D05,EXAM,FAILED,0
rivaharm,E01D05,EXAM,ACCEPTED,100
roonemac,E01D05,EXAM,FAILED,0
rygerbee,E01D05,EXAM,FAILED,0
salviama,E01D05,EXAM,FAILED,0
santanao,E01D05,EXAM,FAILED,0
savannat,E01D05,EXAM,FAILED,0
shandage,E01D05,EXAM,FAILED,0
slavetar,E01D05,EXAM,FAILED,0
sloeycar,E01D05,EXAM,FAILED,0
slowmose,E01D05,EXAM,FAILED,0
snokeepi,E01D05,EXAM,FAILED,0
sonyashi,E01D05,EXAM,FAILED,0
staceelu,E01D05,EXAM,FAILED,0
stevenha,E01D05,EXAM,FAILED,0
tarthden,E01D05,EXAM,FAILED,0
tickhung,E01D05,EXAM,FAILED,0
tonieirw,E01D05,EXAM,FAILED,0
tylergar,E01D05,EXAM,FAILED,0
ulmeraet,E01D05,EXAM,FAILED,0
ummadesh,E01D05,EXAM,FAILED,0
valerial,E01D05,EXAM,FAILED,0
venonats,E01D05,EXAM,FAILED,0
vinniere,E01D05,EXAM,FAILED,0
vitischa,E01D05,EXAM,FAILED,0
wakamera,E01D05,EXAM,FAILED,0
warnercr,E01D05,EXAM,FAILED,0
worthyty,E01D05,EXAM,FAILED,0
wyldevir,E01D05,EXAM,FAILED,0
zettatyp,E01D05,EXAM,FAILED,0
abbottse,E01D05,EXAM,FAILED,0
andisshi,E01D05,EXAM,FAILED,0
aricatop,E01D05,EXAM,FAILED,0
arsontye,E01D05,EXAM,FAILED,0
bakerern,E01D05,EXAM,FAILED,0
bartyebr,E01D05,EXAM,FAILED,0
botanwin,E01D05,EXAM,FAILED,0
bradyque,E01D05,EXAM,FAILED,0
carliedo,E01D05,EXAM,FAILED,0
cerebrar,E01D05,EXAM,FAILED,0
claradon,E01D05,EXAM,FAILED,0
colddulc,E01D05,EXAM,FAILED,0
colombos,E01D05,EXAM,FAILED,0
corinagu,E01D05,EXAM,FAILED,0
delorisw,E01D05,EXAM,FAILED,0
drivehor,E01D05,EXAM,FAILED,0
dwanajoa,E01D05,EXAM,FAILED,0
eijikyli,E01D05,EXAM,FAILED,0
fidelche,E01D05,EXAM,FAILED,0
francede,E01D05,EXAM,FAILED,0
gaylepid,E01D05,EXAM,FAILED,0
gidgetha,E01D05,EXAM,FAILED,0
glennlas,E01D05,EXAM,FAILED,0
goadylay,E01D05,EXAM,FAILED,0
greymayn,E01D05,EXAM,FAILED,0
hannityr,E01D05,EXAM,FAILED,0
hawkmand,E01D05,EXAM,FAILED,0
hoochigg,E01D05,EXAM,FAILED,0
hullenth,E01D05,EXAM,FAILED,0
idelltur,E01D05,EXAM,FAILED,0
jamesbon,E01D05,EXAM,FAILED,0
jeffreyr,E01D05,EXAM,FAILED,0
jesusavo,E01D05,EXAM,FAILED,0
joanamol,E01D05,EXAM,FAILED,0
joannega,E01D05,EXAM,FAILED,0
jolynnpe,E01D05,EXAM,FAILED,0
kashaque,E01D05,EXAM,FAILED,0
kathring,E01D05,EXAM,FAILED,0
keeldark,E01D05,EXAM,FAILED,0
kenaodil,E01D05,EXAM,FAILED,0
launadef,E01D05,EXAM,FAILED,0
lavetaty,E01D05,EXAM,FAILED,0
lobochel,E01D05,EXAM,FAILED,0
lomaseug,E01D05,EXAM,FAILED,0
lorainel,E01D05,EXAM,FAILED,0
lorchshe,E01D05,EXAM,FAILED,0
maricamy,E01D05,EXAM,FAILED,0
maryopal,E01D05,EXAM,FAILED,0
micheald,E01D05,EXAM,FAILED,0
mickimic,E01D05,EXAM,FAILED,0
neilmoni,E01D05,EXAM,FAILED,0
ocietuco,E01D05,EXAM,FAILED,0
oniegoku,E01D05,EXAM,FAILED,0
orbelogr,E01D05,EXAM,FAILED,0
ouidaart,E01D05,EXAM,FAILED,0
patakity,E01D05,EXAM,FAILED,0
peanutsr,E01D05,EXAM,FAILED,0
petermys,E01D05,EXAM,FAILED,0
petrelli,E01D05,EXAM,FAILED,0
piedadke,E01D05,EXAM,FAILED,0
pumpkinb,E01D05,EXAM,FAILED,0
qhorinha,E01D05,EXAM,FAILED,0
rickmaek,E01D05,EXAM,FAILED,0
rogueaga,E01D05,EXAM,FAILED,0
rollammo,E01D05,EXAM,FAILED,0
roxiegus,E01D05,EXAM,FAILED,0
rymundco,E01D05,EXAM,FAILED,0
ryonshan,E01D05,EXAM,FAILED,0
serwynwe,E01D05,EXAM,FAILED,0
sharrong,E01D05,EXAM,FAILED,0
shaundat,E01D05,EXAM,FAILED,0
