student,title,type,status,final score
abbyjere,T01D01,INDIVIDUAL,FAILED,0
albettbu,T01D01,INDIVIDUAL,ACCEPTED,93
althease,T01D01,INDIVIDUAL,FAILED,0
aqualada,T01D01,INDIVIDUAL,FAILED,0
ariellem,T01D01,INDIVIDUAL,FAILED,0
arlethab,T01D01,INDIVIDUAL,FAILED,0
arwynjac,T01D01,INDIVIDUAL,FAILED,0
ayakofuj,T01D01,INDIVIDUAL,FAILED,0
barbafra,T01D01,INDIVIDUAL,FAILED,0
brittnib,T01D01,INDIVIDUAL,ACCEPTED,88
chongvir,T01D01,INDIVIDUAL,FAILED,0
cindalig,T01D01,INDIVIDUAL,FAILED,0
claudeco,T01D01,INDIVIDUAL,FAILED,0
colettac,T01D01,INDIVIDUAL,FAILED,0
connorla,T01D01,INDIVIDUAL,FAILED,0
coraleey,T01D01,INDIVIDUAL,FAILED,0
donaljac,T01D01,INDIVIDUAL,FAILED,0
dougalmo,T01D01,INDIVIDUAL,FAILED,0
ellarias,T01D01,INDIVIDUAL,FAILED,0
emelyaur,T01D01,INDIVIDUAL,ACCEPTED,100
eorlundw,T01D01,INDIVIDUAL,FAILED,0
flaviama,T01D01,INDIVIDUAL,FAILED,0
galbartt,T01D01,INDIVIDUAL,FAILED,0
goldenun,T01D01,INDIVIDUAL,FAILED,0
halistic,T01D01,INDIVIDUAL,FAILED,0
harlangu,T01D01,INDIVIDUAL,FAILED,0
hazraksa,T01D01,INDIVIDUAL,FAILED,0
hettiewa,T01D01,INDIVIDUAL,FAILED,0
hizdahrs,T01D01,INDIVIDUAL,FAILED,13
hoppered,T01D01,INDIVIDUAL,FAILED,0
illaoigl,T01D01,INDIVIDUAL,FAILED,0
jameyadr,T01D01,INDIVIDUAL,FAILED,0
janaespy,T01D01,INDIVIDUAL,FAILED,0
jestwhis,T01D01,INDIVIDUAL,FAILED,0
jettaduu,T01D01,INDIVIDUAL,FAILED,0
johniebl,T01D01,INDIVIDUAL,FAILED,0
johnieer,T01D01,INDIVIDUAL,ACCEPTED,67
karrieco,T01D01,INDIVIDUAL,FAILED,0
kathyblu,T01D01,INDIVIDUAL,FAILED,0
leotasch,T01D01,INDIVIDUAL,FAILED,0
magobarb,T01D01,INDIVIDUAL,FAILED,0
managiml,T01D01,INDIVIDUAL,FAILED,0
martiank,T01D01,INDIVIDUAL,FAILED,0
marvinad,T01D01,INDIVIDUAL,FAILED,23
meadowsl,T01D01,INDIVIDUAL,FAILED,0
meralynl,T01D01,INDIVIDUAL,FAILED,0
micahann,T01D01,INDIVIDUAL,FAILED,0
mikkirub,T01D01,INDIVIDUAL,FAILED,0
moniquec,T01D01,INDIVIDUAL,FAILED,0
motherka,T01D01,INDIVIDUAL,FAILED,0
namikari,T01D01,INDIVIDUAL,FAILED,0
norahara,T01D01,INDIVIDUAL,ACCEPTED,67
onionflo,T01D01,INDIVIDUAL,FAILED,0
orientba,T01D01,INDIVIDUAL,FAILED,0
pallasar,T01D01,INDIVIDUAL,FAILED,0
palmasev,T01D01,INDIVIDUAL,FAILED,0
randalci,T01D01,INDIVIDUAL,FAILED,0
rivaharm,T01D01,INDIVIDUAL,ACCEPTED,100
roonemac,T01D01,INDIVIDUAL,ACCEPTED,43
rygerbee,T01D01,INDIVIDUAL,FAILED,10
salviama,T01D01,INDIVIDUAL,FAILED,0
santanao,T01D01,INDIVIDUAL,FAILED,0
savannat,T01D01,INDIVIDUAL,FAILED,0
shandage,T01D01,INDIVIDUAL,FAILED,0
slavetar,T01D01,INDIVIDUAL,FAILED,0
sloeycar,T01D01,INDIVIDUAL,FAILED,0
slowmose,T01D01,INDIVIDUAL,FAILED,0
snokeepi,T01D01,INDIVIDUAL,FAILED,0
sonyashi,T01D01,INDIVIDUAL,FAILED,0
staceelu,T01D01,INDIVIDUAL,FAILED,0
stevenha,T01D01,INDIVIDUAL,FAILED,0
tarthden,T01D01,INDIVIDUAL,FAILED,0
tickhung,T01D01,INDIVIDUAL,FAILED,0
tonieirw,T01D01,INDIVIDUAL,FAILED,0
tylergar,T01D01,INDIVIDUAL,FAILED,0
ulmeraet,T01D01,INDIVIDUAL,FAILED,0
ummadesh,T01D01,INDIVIDUAL,FAILED,0
valerial,T01D01,INDIVIDUAL,FAILED,0
venonats,T01D01,INDIVIDUAL,ACCEPTED,82
vinniere,T01D01,INDIVIDUAL,FAILED,0
vitischa,T01D01,INDIVIDUAL,FAILED,0
wakamera,T01D01,INDIVIDUAL,FAILED,0
warnercr,T01D01,INDIVIDUAL,FAILED,0
worthyty,T01D01,INDIVIDUAL,FAILED,0
wyldevir,T01D01,INDIVIDUAL,FAILED,0
zettatyp,T01D01,INDIVIDUAL,FAILED,0
abbottse,T01D01,INDIVIDUAL,FAILED,0
andisshi,T01D01,INDIVIDUAL,FAILED,0
aricatop,T01D01,INDIVIDUAL,FAILED,16
arsontye,T01D01,INDIVIDUAL,FAILED,0
bakerern,T01D01,INDIVIDUAL,FAILED,0
bartyebr,T01D01,INDIVIDUAL,FAILED,0
botanwin,T01D01,INDIVIDUAL,ACCEPTED,82
bradyque,T01D01,INDIVIDUAL,ACCEPTED,93
carliedo,T01D01,INDIVIDUAL,FAILED,0
cerebrar,T01D01,INDIVIDUAL,FAILED,0
claradon,T01D01,INDIVIDUAL,FAILED,0
colddulc,T01D01,INDIVIDUAL,FAILED,0
colombos,T01D01,INDIVIDUAL,FAILED,0
corinagu,T01D01,INDIVIDUAL,ACCEPTED,94
delorisw,T01D01,INDIVIDUAL,FAILED,0
drivehor,T01D01,INDIVIDUAL,FAILED,0
dwanajoa,T01D01,INDIVIDUAL,FAILED,0
eijikyli,T01D01,INDIVIDUAL,FAILED,0
fidelche,T01D01,INDIVIDUAL,FAILED,0
francede,T01D01,INDIVIDUAL,FAILED,0
gaylepid,T01D01,INDIVIDUAL,FAILED,0
gidgetha,T01D01,INDIVIDUAL,FAILED,0
glennlas,T01D01,INDIVIDUAL,FAILED,0
goadylay,T01D01,INDIVIDUAL,FAILED,0
greymayn,T01D01,INDIVIDUAL,ACCEPTED,63
hannityr,T01D01,INDIVIDUAL,FAILED,0
hawkmand,T01D01,INDIVIDUAL,FAILED,0
hoochigg,T01D01,INDIVIDUAL,FAILED,0
hullenth,T01D01,INDIVIDUAL,FAILED,3
idelltur,T01D01,INDIVIDUAL,FAILED,0
jamesbon,T01D01,INDIVIDUAL,FAILED,0
jeffreyr,T01D01,INDIVIDUAL,FAILED,0
jesusavo,T01D01,INDIVIDUAL,FAILED,0
joanamol,T01D01,INDIVIDUAL,FAILED,0
joannega,T01D01,INDIVIDUAL,FAILED,0
jolynnpe,T01D01,INDIVIDUAL,FAILED,0
kashaque,T01D01,INDIVIDUAL,FAILED,0
kathring,T01D01,INDIVIDUAL,ACCEPTED,33
keeldark,T01D01,INDIVIDUAL,FAILED,0
kenaodil,T01D01,INDIVIDUAL,ACCEPTED,41
launadef,T01D01,INDIVIDUAL,FAILED,0
lavetaty,T01D01,INDIVIDUAL,FAILED,0
lobochel,T01D01,INDIVIDUAL,FAILED,0
lomaseug,T01D01,INDIVIDUAL,FAILED,0
lorainel,T01D01,INDIVIDUAL,FAILED,0
lorchshe,T01D01,INDIVIDUAL,FAILED,0
maricamy,T01D01,INDIVIDUAL,FAILED,0
maryopal,T01D01,INDIVIDUAL,FAILED,0
micheald,T01D01,INDIVIDUAL,FAILED,0
mickimic,T01D01,INDIVIDUAL,ACCEPTED,93
neilmoni,T01D01,INDIVIDUAL,FAILED,0
ocietuco,T01D01,INDIVIDUAL,FAILED,0
oniegoku,T01D01,INDIVIDUAL,FAILED,0
orbelogr,T01D01,INDIVIDUAL,FAILED,0
ouidaart,T01D01,INDIVIDUAL,FAILED,0
patakity,T01D01,INDIVIDUAL,FAILED,0
peanutsr,T01D01,INDIVIDUAL,FAILED,0
petermys,T01D01,INDIVIDUAL,ACCEPTED,91
petrelli,T01D01,INDIVIDUAL,FAILED,0
piedadke,T01D01,INDIVIDUAL,FAILED,0
pumpkinb,T01D01,INDIVIDUAL,FAILED,0
qhorinha,T01D01,INDIVIDUAL,ACCEPTED,70
rickmaek,T01D01,INDIVIDUAL,FAILED,0
rogueaga,T01D01,INDIVIDUAL,FAILED,0
rollammo,T01D01,INDIVIDUAL,FAILED,0
roxiegus,T01D01,INDIVIDUAL,ACCEPTED,100
rymundco,T01D01,INDIVIDUAL,FAILED,0
ryonshan,T01D01,INDIVIDUAL,FAILED,0
serwynwe,T01D01,INDIVIDUAL,FAILED,0
sharrong,T01D01,INDIVIDUAL,FAILED,0
shaundat,T01D01,INDIVIDUAL,FAILED,0
shylaora,T01D01,INDIVIDUAL,FAILED,0
sibylvad,T01D01,INDIVIDUAL,ACCEPTED,100
spacepra,T01D01,INDIVIDUAL,FAILED,17
spermhak,T01D01,INDIVIDUAL,ACCEPTED,58
squeecla,T01D01,INDIVIDUAL,FAILED,0
starvinm,T01D01,INDIVIDUAL,FAILED,0
teishana,T01D01,INDIVIDUAL,FAILED,0
theomarm,T01D01,INDIVIDUAL,FAILED,0
toastjef,T01D01,INDIVIDUAL,FAILED,0
toteaide,T01D01,INDIVIDUAL,FAILED,0
vassagor,T01D01,INDIVIDUAL,FAILED,0
waddrign,T01D01,INDIVIDUAL,FAILED,0
weezingm,T01D01,INDIVIDUAL,FAILED,0
wintermi,T01D01,INDIVIDUAL,FAILED,0
wrenfres,T01D01,INDIVIDUAL,FAILED,0
zanesasi,T01D01,INDIVIDUAL,FAILED,0
adarysel,T01D01,INDIVIDUAL,FAILED,0
alisacha,T01D01,INDIVIDUAL,FAILED,0
alixzolt,T01D01,INDIVIDUAL,ACCEPTED,82
andreefi,T01D01,INDIVIDUAL,FAILED,0
andrewsh,T01D01,INDIVIDUAL,ACCEPTED,100
andrikky,T01D01,INDIVIDUAL,ACCEPTED,100
arysmarc,T01D01,INDIVIDUAL,FAILED,0
azorjane,T01D01,INDIVIDUAL,ACCEPTED,67
bankchar,T01D01,INDIVIDUAL,FAILED,0
berttiju,T01D01,INDIVIDUAL,FAILED,0
birchlac,T01D01,INDIVIDUAL,FAILED,0
boatmano,T01D01,INDIVIDUAL,FAILED,0
boriskar,T01D01,INDIVIDUAL,ACCEPTED,100
bullscor,T01D01,INDIVIDUAL,FAILED,0
burttapi,T01D01,INDIVIDUAL,FAILED,0
butcherf,T01D01,INDIVIDUAL,ACCEPTED,37
celestet,T01D01,INDIVIDUAL,FAILED,0
celinaph,T01D01,INDIVIDUAL,ACCEPTED,77
charisep,T01D01,INDIVIDUAL,ACCEPTED,100
cherdean,T01D01,INDIVIDUAL,FAILED,0
coranorr,T01D01,INDIVIDUAL,FAILED,0
corbrayo,T01D01,INDIVIDUAL,FAILED,0
dainezub,T01D01,INDIVIDUAL,FAILED,0
deemchar,T01D01,INDIVIDUAL,FAILED,0
deliadai,T01D01,INDIVIDUAL,ACCEPTED,49
diannaga,T01D01,INDIVIDUAL,FAILED,0
edmondfa,T01D01,INDIVIDUAL,ACCEPTED,48
erlindas,T01D01,INDIVIDUAL,FAILED,0
eugenies,T01D01,INDIVIDUAL,ACCEPTED,100
ferretec,T01D01,INDIVIDUAL,FAILED,0
fredagal,T01D01,INDIVIDUAL,FAILED,0
gerardos,T01D01,INDIVIDUAL,FAILED,0
gisellel,T01D01,INDIVIDUAL,FAILED,0
gumblelo,T01D01,INDIVIDUAL,FAILED,0
hybridsn,T01D01,INDIVIDUAL,IN_REVIEWS,None
janelros,T01D01,INDIVIDUAL,FAILED,0
jazminza,T01D01,INDIVIDUAL,FAILED,0
jeltzpin,T01D01,INDIVIDUAL,FAILED,0
kemmette,T01D01,INDIVIDUAL,FAILED,0
klawhell,T01D01,INDIVIDUAL,FAILED,0
lilianat,T01D01,INDIVIDUAL,FAILED,0
lottiejo,T01D01,INDIVIDUAL,FAILED,0
luigiros,T01D01,INDIVIDUAL,FAILED,0
lynncasw,T01D01,INDIVIDUAL,FAILED,0
lyonelsi,T01D01,INDIVIDUAL,FAILED,0
maarzand,T01D01,INDIVIDUAL,FAILED,0
maciecha,T01D01,INDIVIDUAL,FAILED,0
madonnan,T01D01,INDIVIDUAL,FAILED,0
maliqaug,T01D01,INDIVIDUAL,ACCEPTED,35
maxihagr,T01D01,INDIVIDUAL,FAILED,0
mayedoro,T01D01,INDIVIDUAL,FAILED,0
mikkijea,T01D01,INDIVIDUAL,FAILED,0
miklazre,T01D01,INDIVIDUAL,FAILED,0
mosheros,T01D01,INDIVIDUAL,FAILED,0
narberte,T01D01,INDIVIDUAL,FAILED,0
narcissm,T01D01,INDIVIDUAL,ACCEPTED,67
nikiaeun,T01D01,INDIVIDUAL,FAILED,0
noemiaun,T01D01,INDIVIDUAL,FAILED,0
northlis,T01D01,INDIVIDUAL,FAILED,0
olympiai,T01D01,INDIVIDUAL,FAILED,0
organalo,T01D01,INDIVIDUAL,ACCEPTED,100
pipervon,T01D01,INDIVIDUAL,FAILED,0
prunesgl,T01D01,INDIVIDUAL,ACCEPTED,89
regenase,T01D01,INDIVIDUAL,ACCEPTED,100
ridgefer,T01D01,INDIVIDUAL,ACCEPTED,59
sandycor,T01D01,INDIVIDUAL,FAILED,0
sargonre,T01D01,INDIVIDUAL,FAILED,0
selyseju,T01D01,INDIVIDUAL,FAILED,0
sharonma,T01D01,INDIVIDUAL,FAILED,0
shenitac,T01D01,INDIVIDUAL,FAILED,0
spinneta,T01D01,INDIVIDUAL,FAILED,0
sudiesca,T01D01,INDIVIDUAL,FAILED,0
tereseca,T01D01,INDIVIDUAL,FAILED,0
teshamor,T01D01,INDIVIDUAL,FAILED,0
threshbe,T01D01,INDIVIDUAL,FAILED,0
tortugab,T01D01,INDIVIDUAL,ACCEPTED,71
vallaric,T01D01,INDIVIDUAL,FAILED,0
vaughnko,T01D01,INDIVIDUAL,FAILED,0
visionti,T01D01,INDIVIDUAL,FAILED,0
vladbran,T01D01,INDIVIDUAL,FAILED,0
wareiren,T01D01,INDIVIDUAL,FAILED,0
wavesren,T01D01,INDIVIDUAL,FAILED,0
