student,title,type,status,final score
abbyjere,P02D13,GROUP,FAILED,0
albettbu,P02D13,GROUP,FAILED,0
althease,P02D13,GROUP,FAILED,0
aqualada,P02D13,GROUP,FAILED,0
ariellem,P02D13,GROUP,FAILED,0
arlethab,P02D13,GROUP,IN_REVIEWS,None
arwynjac,P02D13,GROUP,FAILED,0
ayakofuj,P02D13,GROUP,FAILED,0
barbafra,P02D13,GROUP,FAILED,0
brittnib,P02D13,GROUP,IN_REVIEWS,None
chongvir,P02D13,GROUP,FAILED,0
cindalig,P02D13,GROUP,FAILED,0
claudeco,P02D13,GROUP,FAILED,0
colettac,P02D13,GROUP,FAILED,0
connorla,P02D13,GROUP,FAILED,0
coraleey,P02D13,GROUP,FAILED,0
donaljac,P02D13,GROUP,FAILED,0
dougalmo,P02D13,GROUP,FAILED,0
ellarias,P02D13,GROUP,IN_REVIEWS,None
emelyaur,P02D13,GROUP,IN_REVIEWS,None
eorlundw,P02D13,GROUP,FAILED,0
flaviama,P02D13,GROUP,FAILED,0
galbartt,P02D13,GROUP,FAILED,0
goldenun,P02D13,GROUP,FAILED,0
halistic,P02D13,GROUP,FAILED,0
harlangu,P02D13,GROUP,FAILED,0
hazraksa,P02D13,GROUP,IN_REVIEWS,None
hettiewa,P02D13,GROUP,FAILED,0
hizdahrs,P02D13,GROUP,IN_REVIEWS,None
hoppered,P02D13,GROUP,FAILED,0
illaoigl,P02D13,GROUP,FAILED,0
jameyadr,P02D13,GROUP,FAILED,0
janaespy,P02D13,GROUP,FAILED,0
jestwhis,P02D13,GROUP,IN_REVIEWS,None
jettaduu,P02D13,GROUP,FAILED,0
johniebl,P02D13,GROUP,FAILED,0
johnieer,P02D13,GROUP,IN_REVIEWS,None
karrieco,P02D13,GROUP,FAILED,0
kathyblu,P02D13,GROUP,IN_REVIEWS,None
leotasch,P02D13,GROUP,FAILED,0
magobarb,P02D13,GROUP,FAILED,0
managiml,P02D13,GROUP,FAILED,0
martiank,P02D13,GROUP,FAILED,0
marvinad,P02D13,GROUP,IN_REVIEWS,None
meadowsl,P02D13,GROUP,FAILED,0
meralynl,P02D13,GROUP,FAILED,0
micahann,P02D13,GROUP,FAILED,0
mikkirub,P02D13,GROUP,FAILED,0
moniquec,P02D13,GROUP,FAILED,0
motherka,P02D13,GROUP,FAILED,0
namikari,P02D13,GROUP,FAILED,0
norahara,P02D13,GROUP,IN_REVIEWS,None
onionflo,P02D13,GROUP,FAILED,0
orientba,P02D13,GROUP,FAILED,0
pallasar,P02D13,GROUP,IN_REVIEWS,None
