student,title,type,status,final score
abbyjere,E03D19,EXAM,FAILED,0
albettbu,E03D19,EXAM,IN_PROGRESS,None
althease,E03D19,EXAM,FAILED,0
aqualada,E03D19,EXAM,FAILED,0
ariellem,E03D19,EXAM,FAILED,0
arlethab,E03D19,EXAM,REGISTERED,None
arwynjac,E03D19,EXAM,FAILED,0
ayakofuj,E03D19,EXAM,REGISTERED,None
barbafra,E03D19,EXAM,FAILED,0
brittnib,E03D19,EXAM,REGISTERED,None
chongvir,E03D19,EXAM,FAILED,0
cindalig,E03D19,EXAM,FAILED,0
claudeco,E03D19,EXAM,FAILED,0
colettac,E03D19,EXAM,FAILED,0
connorla,E03D19,EXAM,FAILED,0
coraleey,E03D19,EXAM,FAILED,0
donaljac,E03D19,EXAM,REGISTERED,None
dougalmo,E03D19,EXAM,FAILED,0
ellarias,E03D19,EXAM,IN_PROGRESS,None
emelyaur,E03D19,EXAM,REGISTERED,None
eorlundw,E03D19,EXAM,FAILED,0
flaviama,E03D19,EXAM,FAILED,0
galbartt,E03D19,EXAM,FAILED,0
goldenun,E03D19,EXAM,FAILED,0
halistic,E03D19,EXAM,FAILED,0
harlangu,E03D19,EXAM,FAILED,0
hazraksa,E03D19,EXAM,IN_PROGRESS,None
hettiewa,E03D19,EXAM,FAILED,0
hizdahrs,E03D19,EXAM,IN_PROGRESS,None
hoppered,E03D19,EXAM,FAILED,0
illaoigl,E03D19,EXAM,IN_PROGRESS,None
jameyadr,E03D19,EXAM,FAILED,0
janaespy,E03D19,EXAM,FAILED,0
jestwhis,E03D19,EXAM,REGISTERED,None
jettaduu,E03D19,EXAM,FAILED,0
johniebl,E03D19,EXAM,FAILED,0
johnieer,E03D19,EXAM,REGISTERED,None
karrieco,E03D19,EXAM,FAILED,0
kathyblu,E03D19,EXAM,REGISTERED,None
leotasch,E03D19,EXAM,FAILED,0
magobarb,E03D19,EXAM,IN_PROGRESS,None
managiml,E03D19,EXAM,IN_PROGRESS,None
martiank,E03D19,EXAM,FAILED,0
marvinad,E03D19,EXAM,IN_PROGRESS,None
meadowsl,E03D19,EXAM,FAILED,0
meralynl,E03D19,EXAM,FAILED,0
micahann,E03D19,EXAM,FAILED,0
mikkirub,E03D19,EXAM,FAILED,0
moniquec,E03D19,EXAM,REGISTERED,None
motherka,E03D19,EXAM,FAILED,0
namikari,E03D19,EXAM,REGISTERED,None
norahara,E03D19,EXAM,IN_PROGRESS,None
onionflo,E03D19,EXAM,FAILED,0
orientba,E03D19,EXAM,FAILED,0
pallasar,E03D19,EXAM,IN_PROGRESS,None
palmasev,E03D19,EXAM,FAILED,0
randalci,E03D19,EXAM,FAILED,0
rivaharm,E03D19,EXAM,IN_PROGRESS,None
roonemac,E03D19,EXAM,FAILED,0
rygerbee,E03D19,EXAM,FAILED,0
salviama,E03D19,EXAM,FAILED,0
santanao,E03D19,EXAM,FAILED,0
savannat,E03D19,EXAM,FAILED,0
shandage,E03D19,EXAM,FAILED,0
slavetar,E03D19,EXAM,FAILED,0
sloeycar,E03D19,EXAM,REGISTERED,None
slowmose,E03D19,EXAM,IN_PROGRESS,None
snokeepi,E03D19,EXAM,FAILED,0
sonyashi,E03D19,EXAM,FAILED,0
staceelu,E03D19,EXAM,FAILED,0
stevenha,E03D19,EXAM,IN_PROGRESS,None
tarthden,E03D19,EXAM,FAILED,0
tickhung,E03D19,EXAM,FAILED,0
tonieirw,E03D19,EXAM,FAILED,0
tylergar,E03D19,EXAM,FAILED,0
ulmeraet,E03D19,EXAM,FAILED,0
ummadesh,E03D19,EXAM,FAILED,0
valerial,E03D19,EXAM,FAILED,0
venonats,E03D19,EXAM,IN_PROGRESS,None
