student,title,type,status,final score
advisorj,E01D05,EXAM,FAILED,0
almedace,E01D05,EXAM,FAILED,0
amadagra,E01D05,EXAM,FAILED,0
amandaci,E01D05,EXAM,ACCEPTED,67
anyamode,E01D05,EXAM,FAILED,0
arethari,E01D05,EXAM,FAILED,0
artieulr,E01D05,EXAM,FAILED,0
auradaba,E01D05,EXAM,FAILED,0
baileyre,E01D05,EXAM,FAILED,0
balonchr,E01D05,EXAM,FAILED,0
balonsno,E01D05,EXAM,FAILED,0
bantamko,E01D05,EXAM,FAILED,0
barbrawu,E01D05,EXAM,FAILED,0
bethelgr,E01D05,EXAM,FAILED,15
billysan,E01D05,EXAM,FAILED,0
bornpatr,E01D05,EXAM,FAILED,0
brentonc,E01D05,EXAM,FAILED,0
brucetoy,E01D05,EXAM,FAILED,0
brunavan,E01D05,EXAM,FAILED,0
caitdumb,E01D05,EXAM,FAILED,0
caladanl,E01D05,EXAM,FAILED,0
careymis,E01D05,EXAM,FAILED,0
caswelld,E01D05,EXAM,FAILED,0
caswellq,E01D05,EXAM,ACCEPTED,100
celsafer,E01D05,EXAM,FAILED,0
chesthil,E01D05,EXAM,FAILED,0
chestshr,E01D05,EXAM,FAILED,0
cindiese,E01D05,EXAM,FAILED,0
cotterge,E01D05,EXAM,FAILED,0
crowbrya,E01D05,EXAM,FAILED,0
cumquatl,E01D05,EXAM,FAILED,0
cyrusgar,E01D05,EXAM,FAILED,0
darcytaj,E01D05,EXAM,FAILED,0
daynasar,E01D05,EXAM,FAILED,0
deodatth,E01D05,EXAM,FAILED,0
desperop,E01D05,EXAM,FAILED,0
dhansakp,E01D05,EXAM,FAILED,15
dianeevi,E01D05,EXAM,FAILED,0
diedraje,E01D05,EXAM,FAILED,0
diedrero,E01D05,EXAM,FAILED,0
dorrisst,E01D05,EXAM,FAILED,0
effietif,E01D05,EXAM,FAILED,0
eladiare,E01D05,EXAM,FAILED,0
elannama,E01D05,EXAM,FAILED,0
elijahth,E01D05,EXAM,FAILED,0
ellabaie,E01D05,EXAM,FAILED,0
elliottd,E01D05,EXAM,FAILED,0
