student,title,type,status,final score
advisorj,T04D04,INDIVIDUAL,FAILED,0
almedace,T04D04,INDIVIDUAL,FAILED,0
amadagra,T04D04,INDIVIDUAL,FAILED,0
amandaci,T04D04,INDIVIDUAL,ACCEPTED,63
anyamode,T04D04,INDIVIDUAL,FAILED,0
arethari,T04D04,INDIVIDUAL,FAILED,0
artieulr,T04D04,INDIVIDUAL,FAILED,0
auradaba,T04D04,INDIVIDUAL,FAILED,0
baileyre,T04D04,INDIVIDUAL,FAILED,0
balonchr,T04D04,INDIVIDUAL,FAILED,0
balonsno,T04D04,INDIVIDUAL,FAILED,0
bantamko,T04D04,INDIVIDUAL,FAILED,0
barbrawu,T04D04,INDIVIDUAL,FAILED,0
bethelgr,T04D04,INDIVIDUAL,FAILED,0
billysan,T04D04,INDIVIDUAL,FAILED,0
bornpatr,T04D04,INDIVIDUAL,FAILED,0
brentonc,T04D04,INDIVIDUAL,FAILED,0
brucetoy,T04D04,INDIVIDUAL,FAILED,0
brunavan,T04D04,INDIVIDUAL,FAILED,0
caitdumb,T04D04,INDIVIDUAL,FAILED,0
caladanl,T04D04,INDIVIDUAL,FAILED,0
careymis,T04D04,INDIVIDUAL,FAILED,0
caswelld,T04D04,INDIVIDUAL,FAILED,0
caswellq,T04D04,INDIVIDUAL,ACCEPTED,133
celsafer,T04D04,INDIVIDUAL,FAILED,15
chesthil,T04D04,INDIVIDUAL,FAILED,0
chestshr,T04D04,INDIVIDUAL,FAILED,0
cindiese,T04D04,INDIVIDUAL,FAILED,0
cotterge,T04D04,INDIVIDUAL,FAILED,0
crowbrya,T04D04,INDIVIDUAL,FAILED,0
cumquatl,T04D04,INDIVIDUAL,FAILED,0
cyrusgar,T04D04,INDIVIDUAL,FAILED,0
darcytaj,T04D04,INDIVIDUAL,FAILED,0
daynasar,T04D04,INDIVIDUAL,FAILED,0
deodatth,T04D04,INDIVIDUAL,FAILED,0
desperop,T04D04,INDIVIDUAL,FAILED,0
dhansakp,T04D04,INDIVIDUAL,FAILED,0
dianeevi,T04D04,INDIVIDUAL,FAILED,0
diedraje,T04D04,INDIVIDUAL,FAILED,0
diedrero,T04D04,INDIVIDUAL,FAILED,0
dorrisst,T04D04,INDIVIDUAL,FAILED,0
