student,title,type,status,final score
advisorj,E03D19,EXAM,ASSIGNED,None
almedace,E03D19,EXAM,ASSIGNED,None
amadagra,E03D19,EXAM,REGISTERED,None
amandaci,E03D19,EXAM,REGISTERED,None
anyamode,E03D19,EXAM,REGISTERED,None
arethari,E03D19,EXAM,ASSIGNED,None
artieulr,E03D19,EXAM,REGISTERED,None
auradaba,E03D19,EXAM,ASSIGNED,None
baileyre,E03D19,EXAM,ASSIGNED,None
balonchr,E03D19,EXAM,ASSIGNED,None
balonsno,E03D19,EXAM,ASSIGNED,None
bantamko,E03D19,EXAM,REGISTERED,None
barbrawu,E03D19,EXAM,ASSIGNED,None
bethelgr,E03D19,EXAM,REGISTERED,None
billysan,E03D19,EXAM,ASSIGNED,None
bornpatr,E03D19,EXAM,ASSIGNED,None
brentonc,E03D19,EXAM,REGISTERED,None
brucetoy,E03D19,EXAM,ASSIGNED,None
brunavan,E03D19,EXAM,ASSIGNED,None
caitdumb,E03D19,EXAM,ASSIGNED,None
caladanl,E03D19,EXAM,ASSIGNED,None
careymis,E03D19,EXAM,REGISTERED,None
caswelld,E03D19,EXAM,ASSIGNED,None
caswellq,E03D19,EXAM,REGISTERED,None
celsafer,E03D19,EXAM,REGISTERED,None
chesthil,E03D19,EXAM,REGISTERED,None
chestshr,E03D19,EXAM,REGISTERED,None
cindiese,E03D19,EXAM,ASSIGNED,None
cotterge,E03D19,EXAM,ASSIGNED,None
crowbrya,E03D19,EXAM,REGISTERED,None
cumquatl,E03D19,EXAM,ASSIGNED,None
cyrusgar,E03D19,EXAM,ASSIGNED,None
darcytaj,E03D19,EXAM,ASSIGNED,None
daynasar,E03D19,EXAM,ASSIGNED,None
deodatth,E03D19,EXAM,ASSIGNED,None
desperop,E03D19,EXAM,ASSIGNED,None
dhansakp,E03D19,EXAM,ASSIGNED,None
dianeevi,E03D19,EXAM,REGISTERED,None
diedraje,E03D19,EXAM,ASSIGNED,None
diedrero,E03D19,EXAM,ASSIGNED,None
dorrisst,E03D19,EXAM,ASSIGNED,None
effietif,E03D19,EXAM,ASSIGNED,None
eladiare,E03D19,EXAM,ASSIGNED,None
elannama,E03D19,EXAM,ASSIGNED,None
elijahth,E03D19,EXAM,ASSIGNED,None
ellabaie,E03D19,EXAM,ASSIGNED,None
elliottd,E03D19,EXAM,REGISTERED,None
enokiatk,E03D19,EXAM,ASSIGNED,None
erenacla,E03D19,EXAM,ASSIGNED,None
essieale,E03D19,EXAM,ASSIGNED,None
ethicalc,E03D19,EXAM,ASSIGNED,None
eulaurro,E03D19,EXAM,ASSIGNED,None
evenstar,E03D19,EXAM,ASSIGNED,None
farrahro,E03D19,EXAM,ASSIGNED,None
fenrircr,E03D19,EXAM,REGISTERED,None
flammezo,E03D19,EXAM,ASSIGNED,None
fletamal,E03D19,EXAM,ASSIGNED,None
frynneli,E03D19,EXAM,REGISTERED,None
galinagl,E03D19,EXAM,REGISTERED,None
gauntter,E03D19,EXAM,ASSIGNED,None
geroldke,E03D19,EXAM,ASSIGNED,None
gerstens,E03D19,EXAM,ASSIGNED,None
gladisde,E03D19,EXAM,REGISTERED,None
gruntinf,E03D19,EXAM,ASSIGNED,None
haywardt,E03D19,EXAM,ASSIGNED,None
hilaryle,E03D19,EXAM,REGISTERED,None
hothoreg,E03D19,EXAM,REGISTERED,None
howdjese,E03D19,EXAM,ASSIGNED,None
ibleelec,E03D19,EXAM,REGISTERED,None
illaoiar,E03D19,EXAM,ASSIGNED,None
isaacshe,E03D19,EXAM,ASSIGNED,None
jamissaf,E03D19,EXAM,REGISTERED,None
jasperal,E03D19,EXAM,ASSIGNED,None
jeramymi,E03D19,EXAM,ASSIGNED,None
joanacla,E03D19,EXAM,ASSIGNED,None
johnnyge,E03D19,EXAM,REGISTERED,None
johnsien,E03D19,EXAM,ASSIGNED,None
jothskin,E03D19,EXAM,ASSIGNED,None
jovansha,E03D19,EXAM,REGISTERED,None
judicarm,E03D19,EXAM,REGISTERED,None
kaciemag,E03D19,EXAM,REGISTERED,None
kafkanor,E03D19,EXAM,ASSIGNED,None
karinwin,E03D19,EXAM,ASSIGNED,None
kelleeta,E03D19,EXAM,REGISTERED,None
keytarni,E03D19,EXAM,ASSIGNED,None
kitschel,E03D19,EXAM,REGISTERED,None
kramerpe,E03D19,EXAM,REGISTERED,None
kriskath,E03D19,EXAM,ASSIGNED,None
laciedel,E03D19,EXAM,REGISTERED,None
lacyshin,E03D19,EXAM,ASSIGNED,None
ladderpe,E03D19,EXAM,REGISTERED,None
lainepab,E03D19,EXAM,ASSIGNED,None
lainepro,E03D19,EXAM,REGISTERED,None
lalakrys,E03D19,EXAM,REGISTERED,None
lannithe,E03D19,EXAM,ASSIGNED,None
largomor,E03D19,EXAM,REGISTERED,None
likttrad,E03D19,EXAM,ASSIGNED,None
lomokraz,E03D19,EXAM,FAILED,0
lonnalar,E03D19,EXAM,ASSIGNED,None
lopeshig,E03D19,EXAM,ASSIGNED,None
lordarde,E03D19,EXAM,ASSIGNED,None
loreanko,E03D19,EXAM,REGISTERED,None
loreleir,E03D19,EXAM,REGISTERED,None
luthorsh,E03D19,EXAM,REGISTERED,None
magdacer,E03D19,EXAM,ASSIGNED,None
mahialmo,E03D19,EXAM,REGISTERED,None
malleonc,E03D19,EXAM,REGISTERED,None
mandakar,E03D19,EXAM,ASSIGNED,None
marquisd,E03D19,EXAM,ASSIGNED,None
mashacar,E03D19,EXAM,REGISTERED,None
matchpar,E03D19,EXAM,ASSIGNED,None
matildae,E03D19,EXAM,ASSIGNED,None
maulange,E03D19,EXAM,ASSIGNED,None
mellieja,E03D19,EXAM,ASSIGNED,None
millydav,E03D19,EXAM,REGISTERED,None
minellar,E03D19,EXAM,ASSIGNED,None
missmath,E03D19,EXAM,REGISTERED,None
mollensh,E03D19,EXAM,ASSIGNED,None
mormontl,E03D19,EXAM,ASSIGNED,None
muckstri,E03D19,EXAM,ASSIGNED,None
mudcraby,E03D19,EXAM,ASSIGNED,None
nailsmar,E03D19,EXAM,ASSIGNED,None
naomanub,E03D19,EXAM,REGISTERED,None
ninfasee,E03D19,EXAM,ASSIGNED,None
nonastar,E03D19,EXAM,REGISTERED,None
nonawait,E03D19,EXAM,REGISTERED,None
norreyma,E03D19,EXAM,REGISTERED,None
okraeuni,E03D19,EXAM,ASSIGNED,None
opalreel,E03D19,EXAM,ASSIGNED,None
orionmet,E03D19,EXAM,REGISTERED,None
parvatir,E03D19,EXAM,ASSIGNED,None
pearliec,E03D19,EXAM,ASSIGNED,None
pepitasl,E03D19,EXAM,REGISTERED,None
qarlforn,E03D19,EXAM,ASSIGNED,None
ramsaydr,E03D19,EXAM,ASSIGNED,None
raymondk,E03D19,EXAM,REGISTERED,None
reathabo,E03D19,EXAM,REGISTERED,None
rendadew,E03D19,EXAM,ASSIGNED,None
richtyre,E03D19,EXAM,REGISTERED,None
rinkofle,E03D19,EXAM,ASSIGNED,None
rockypot,E03D19,EXAM,ASSIGNED,None
rogantom,E03D19,EXAM,REGISTERED,None
rosaural,E03D19,EXAM,ASSIGNED,None
salazarc,E03D19,EXAM,REGISTERED,None
salviagl,E03D19,EXAM,ASSIGNED,None
scheinsh,E03D19,EXAM,ASSIGNED,None
seastarn,E03D19,EXAM,ASSIGNED,None
selmypai,E03D19,EXAM,ASSIGNED,None
semeleem,E03D19,EXAM,ASSIGNED,None
sharladi,E03D19,EXAM,ASSIGNED,None
shawnnag,E03D19,EXAM,ASSIGNED,None
shenrodu,E03D19,EXAM,ASSIGNED,None
shettdee,E03D19,EXAM,ASSIGNED,None
solegraz,E03D19,EXAM,REGISTERED,None
staceeca,E03D19,EXAM,REGISTERED,None
steelyow,E03D19,EXAM,REGISTERED,None
sundaehi,E03D19,EXAM,ASSIGNED,None
tamekath,E03D19,EXAM,ASSIGNED,None
templema,E03D19,EXAM,REGISTERED,None
tendantc,E03D19,EXAM,ASSIGNED,None
terralip,E03D19,EXAM,ASSIGNED,None
tesskyok,E03D19,EXAM,ASSIGNED,None
tiesemoo,E03D19,EXAM,REGISTERED,None
tolletth,E03D19,EXAM,ASSIGNED,None
tucodaug,E03D19,EXAM,REGISTERED,None
tweakcri,E03D19,EXAM,ASSIGNED,None
veigarde,E03D19,EXAM,REGISTERED,None
vinniegr,E03D19,EXAM,ASSIGNED,None
virgenst,E03D19,EXAM,ASSIGNED,None
vixenpro,E03D19,EXAM,REGISTERED,None
watersri,E03D19,EXAM,REGISTERED,None
wendyken,E03D19,EXAM,ASSIGNED,None
xerathma,E03D19,EXAM,REGISTERED,None
yuunacad,E03D19,EXAM,ASSIGNED,None
yuunaela,E03D19,EXAM,ASSIGNED,None
adrienla,E03D19,EXAM,REGISTERED,None
aemongli,E03D19,EXAM,ASSIGNED,None
albinali,E03D19,EXAM,REGISTERED,None
alexiaki,E03D19,EXAM,REGISTERED,None
amymoneg,E03D19,EXAM,ASSIGNED,None
aprilkiz,E03D19,EXAM,REGISTERED,None
ardellaa,E03D19,EXAM,ASSIGNED,None
arlettaw,E03D19,EXAM,ASSIGNED,None
arneldlo,E03D19,EXAM,ASSIGNED,None
arnitaho,E03D19,EXAM,REGISTERED,None
arwenhel,E03D19,EXAM,ASSIGNED,None
auroreex,E03D19,EXAM,ASSIGNED,None
avengerm,E03D19,EXAM,ASSIGNED,None
azzielan,E03D19,EXAM,ASSIGNED,None
bandybry,E03D19,EXAM,ASSIGNED,None
barbracr,E03D19,EXAM,REGISTERED,None
bellyreg,E03D19,EXAM,ASSIGNED,None
billietr,E03D19,EXAM,ASSIGNED,None
billywil,E03D19,EXAM,ASSIGNED,None
blaisele,E03D19,EXAM,ASSIGNED,None
borvojor,E03D19,EXAM,ASSIGNED,None
bradbigg,E03D19,EXAM,REGISTERED,None
breamblo,E03D19,EXAM,REGISTERED,None
broggcas,E03D19,EXAM,REGISTERED,None
capersel,E03D19,EXAM,ASSIGNED,None
carlysea,E03D19,EXAM,ASSIGNED,None
carmelal,E03D19,EXAM,ASSIGNED,None
casieigg,E03D19,EXAM,REGISTERED,None
casseydo,E03D19,EXAM,ASSIGNED,None
chadzula,E03D19,EXAM,REGISTERED,None
chuckalf,E03D19,EXAM,ASSIGNED,None
clockver,E03D19,EXAM,ASSIGNED,None
collioqy,E03D19,EXAM,ASSIGNED,None
crackedc,E03D19,EXAM,ASSIGNED,None
dagmarja,E03D19,EXAM,ASSIGNED,None
dagnybea,E03D19,EXAM,ASSIGNED,None
dareonhe,E03D19,EXAM,REGISTERED,None
darialif,E03D19,EXAM,ASSIGNED,None
delilagl,E03D19,EXAM,ASSIGNED,None
dexterla,E03D19,EXAM,REGISTERED,None
dhazzarn,E03D19,EXAM,REGISTERED,None
dodieozz,E03D19,EXAM,ASSIGNED,None
dolliema,E03D19,EXAM,ASSIGNED,None
donaldwi,E03D19,EXAM,ASSIGNED,None
dwightgr,E03D19,EXAM,ASSIGNED,None
eddawhit,E03D19,EXAM,ASSIGNED,None
elkelync,E03D19,EXAM,ASSIGNED,None
elletand,E03D19,EXAM,ASSIGNED,None
faliakyl,E03D19,EXAM,ASSIGNED,None
farlenpe,E03D19,EXAM,REGISTERED,None
feijoaru,E03D19,EXAM,ASSIGNED,None
fenixfre,E03D19,EXAM,ASSIGNED,None
fetamimi,E03D19,EXAM,ASSIGNED,None
fisherha,E03D19,EXAM,ASSIGNED,None
flannelf,E03D19,EXAM,ASSIGNED,None
forthlas,E03D19,EXAM,ASSIGNED,None
gagethem,E03D19,EXAM,REGISTERED,None
genjifal,E03D19,EXAM,REGISTERED,None
gilwoode,E03D19,EXAM,ASSIGNED,None
gladyspa,E03D19,EXAM,ASSIGNED,None
gojireel,E03D19,EXAM,ASSIGNED,None
goldeene,E03D19,EXAM,ASSIGNED,None
gungance,E03D19,EXAM,ASSIGNED,None
haldercy,E03D19,EXAM,ASSIGNED,None
harclayl,E03D19,EXAM,ASSIGNED,None
harragbe,E03D19,EXAM,ASSIGNED,None
harwoodd,E03D19,EXAM,REGISTERED,None
hedygaly,E03D19,EXAM,REGISTERED,None
hungsher,E03D19,EXAM,ASSIGNED,None
ilynfitz,E03D19,EXAM,ASSIGNED,None
imogenek,E03D19,EXAM,ASSIGNED,None
jamisonr,E03D19,EXAM,ASSIGNED,None
janessav,E03D19,EXAM,ASSIGNED,None
jaymeoda,E03D19,EXAM,ASSIGNED,None
jeannaha,E03D19,EXAM,REGISTERED,None
jennellb,E03D19,EXAM,REGISTERED,None
jeorsoli,E03D19,EXAM,ASSIGNED,None
jesslawa,E03D19,EXAM,ASSIGNED,None
jinnjadz,E03D19,EXAM,REGISTERED,None
joannear,E03D19,EXAM,ASSIGNED,None
johanath,E03D19,EXAM,ASSIGNED,None
jungbran,E03D19,EXAM,REGISTERED,None
juniperd,E03D19,EXAM,ASSIGNED,None
justinac,E03D19,EXAM,REGISTERED,None
kariefan,E03D19,EXAM,ASSIGNED,None
karitick,E03D19,EXAM,REGISTERED,None
katijose,E03D19,EXAM,REGISTERED,None
kerstinb,E03D19,EXAM,ASSIGNED,None
khankeri,E03D19,EXAM,ASSIGNED,None
khaylama,E03D19,EXAM,REGISTERED,None
kilidied,E03D19,EXAM,ASSIGNED,None
knapprit,E03D19,EXAM,REGISTERED,None
krexsant,E03D19,EXAM,ASSIGNED,None
kristana,E03D19,EXAM,REGISTERED,None
langgilf,E03D19,EXAM,ASSIGNED,None
lashonsa,E03D19,EXAM,REGISTERED,None
laynehoo,E03D19,EXAM,ASSIGNED,None
lindsypi,E03D19,EXAM,ASSIGNED,None
linettew,E03D19,EXAM,REGISTERED,None
littlean,E03D19,EXAM,ASSIGNED,None
lorenzox,E03D19,EXAM,ASSIGNED,None
loriahal,E03D19,EXAM,ASSIGNED,None
louiejor,E03D19,EXAM,REGISTERED,None
lourabet,E03D19,EXAM,ASSIGNED,None
lubakase,E03D19,EXAM,ASSIGNED,None
luciewyn,E03D19,EXAM,ASSIGNED,None
lyjabruc,E03D19,EXAM,REGISTERED,None
lymancug,E03D19,EXAM,ASSIGNED,None
maguspun,E03D19,EXAM,REGISTERED,None
mallusok,E03D19,EXAM,ASSIGNED,None
marquisf,E03D19,EXAM,ASSIGNED,None
masseyno,E03D19,EXAM,ASSIGNED,None
maudiear,E03D19,EXAM,REGISTERED,None
maurolua,E03D19,EXAM,ASSIGNED,None
merceran,E03D19,EXAM,REGISTERED,None
merriehe,E03D19,EXAM,REGISTERED,None
mezzaras,E03D19,EXAM,REGISTERED,None
mikeland,E03D19,EXAM,ASSIGNED,None
millansl,E03D19,EXAM,ASSIGNED,None
minellaq,E03D19,EXAM,REGISTERED,None
mintaale,E03D19,EXAM,ASSIGNED,None
mundagoo,E03D19,EXAM,ASSIGNED,None
naerysem,E03D19,EXAM,ASSIGNED,None
nollapre,E03D19,EXAM,ASSIGNED,None
odenmjol,E03D19,EXAM,REGISTERED,None
olyvarca,E03D19,EXAM,REGISTERED,None
oureadag,E03D19,EXAM,REGISTERED,None
patrekso,E03D19,EXAM,ASSIGNED,None
patricea,E03D19,EXAM,ASSIGNED,None
pohlbent,E03D19,EXAM,REGISTERED,None
poolejun,E03D19,EXAM,ASSIGNED,None
postbell,E03D19,EXAM,ASSIGNED,None
powerspo,E03D19,EXAM,REGISTERED,None
pressedm,E03D19,EXAM,REGISTERED,None
rafaelno,E03D19,EXAM,ASSIGNED,None
riddlerd,E03D19,EXAM,ASSIGNED,None
rodgerwi,E03D19,EXAM,ASSIGNED,None
ronnyphy,E03D19,EXAM,ASSIGNED,None
roryeste,E03D19,EXAM,ASSIGNED,None
rosalvat,E03D19,EXAM,REGISTERED,None
rosellag,E03D19,EXAM,REGISTERED,None
rudderju,E03D19,EXAM,ASSIGNED,None
rudyruss,E03D19,EXAM,REGISTERED,None
selinast,E03D19,EXAM,ASSIGNED,None
shainadi,E03D19,EXAM,ASSIGNED,None
shanekae,E03D19,EXAM,ASSIGNED,None
slyntgiz,E03D19,EXAM,ASSIGNED,None
spockvic,E03D19,EXAM,REGISTERED,None
spykeves,E03D19,EXAM,ASSIGNED,None
staceybu,E03D19,EXAM,ASSIGNED,None
stewfurt,E03D19,EXAM,REGISTERED,None
stooparn,E03D19,EXAM,REGISTERED,None
stoopsam,E03D19,EXAM,REGISTERED,None
swarmber,E03D19,EXAM,REGISTERED,None
tamekati,E03D19,EXAM,ASSIGNED,None
tannerke,E03D19,EXAM,ASSIGNED,None
texankar,E03D19,EXAM,ASSIGNED,None
texannor,E03D19,EXAM,REGISTERED,None
toffeeba,E03D19,EXAM,ASSIGNED,None
tommiema,E03D19,EXAM,ASSIGNED,None
tresaemr,E03D19,EXAM,ASSIGNED,None
ullervin,E03D19,EXAM,REGISTERED,None
ultrazam,E03D19,EXAM,ASSIGNED,None
varamyrm,E03D19,EXAM,REGISTERED,None
vedamalk,E03D19,EXAM,ASSIGNED,None
venmohot,E03D19,EXAM,ASSIGNED,None
wilforda,E03D19,EXAM,REGISTERED,None
winsomkr,E03D19,EXAM,ASSIGNED,None
yandryme,E03D19,EXAM,REGISTERED,None
yatesree,E03D19,EXAM,ASSIGNED,None
yokoeffu,E03D19,EXAM,ASSIGNED,None
yonnmoll,E03D19,EXAM,ASSIGNED,None
yorenmur,E03D19,EXAM,ASSIGNED,None
zadaayan,E03D19,EXAM,REGISTERED,None
aileenqi,E03D19,EXAM,ASSIGNED,None
alestera,E03D19,EXAM,ASSIGNED,None
andrikfu,E03D19,EXAM,REGISTERED,None
aniseedp,E03D19,EXAM,REGISTERED,None
annettab,E03D19,EXAM,REGISTERED,None
annikagy,E03D19,EXAM,FAILED,0
assuntaw,E03D19,EXAM,ASSIGNED,None
avengerd,E03D19,EXAM,REGISTERED,None
azariyac,E03D19,EXAM,ASSIGNED,None
azziemor,E03D19,EXAM,ASSIGNED,None
babudeet,E03D19,EXAM,ASSIGNED,None
bennette,E03D19,EXAM,REGISTERED,None
bertbria,E03D19,EXAM,REGISTERED,None
bishopni,E03D19,EXAM,ASSIGNED,None
boothmil,E03D19,EXAM,ASSIGNED,None
boycetor,E03D19,EXAM,ASSIGNED,None
bradlych,E03D19,EXAM,ASSIGNED,None
briancom,E03D19,EXAM,ASSIGNED,None
brunchme,E03D19,EXAM,ASSIGNED,None
bugghanc,E03D19,EXAM,ASSIGNED,None
byrchail,E03D19,EXAM,REGISTERED,None
caeneusf,E03D19,EXAM,ASSIGNED,None
carrolsu,E03D19,EXAM,REGISTERED,None
chantayz,E03D19,EXAM,REGISTERED,None
charlynm,E03D19,EXAM,ASSIGNED,None
cheddara,E03D19,EXAM,ASSIGNED,None
cherehaw,E03D19,EXAM,ASSIGNED,None
chipgoos,E03D19,EXAM,REGISTERED,None
clowndea,E03D19,EXAM,ASSIGNED,None
clymeneh,E03D19,EXAM,ASSIGNED,None
colinmar,E03D19,EXAM,ASSIGNED,None
corrined,E03D19,EXAM,REGISTERED,None
cotterbr,E03D19,EXAM,REGISTERED,None
creambri,E03D19,EXAM,REGISTERED,None
daxoslis,E03D19,EXAM,ASSIGNED,None
daylelil,E03D19,EXAM,ASSIGNED,None
delenate,E03D19,EXAM,ASSIGNED,None
denimjud,E03D19,EXAM,ASSIGNED,None
dignasab,E03D19,EXAM,ASSIGNED,None
dinashem,E03D19,EXAM,REGISTERED,None
dingleak,E03D19,EXAM,ASSIGNED,None
dogeadar,E03D19,EXAM,ASSIGNED,None
dollarty,E03D19,EXAM,REGISTERED,None
drowzeev,E03D19,EXAM,REGISTERED,None
