student,title,type,status,final score
advisorj,E03D19,EXAM,ASSIGNED,None
almedace,E03D19,EXAM,ASSIGNED,None
amadagra,E03D19,EXAM,REGISTERED,None
amandaci,E03D19,EXAM,IN_PROGRESS,None
anyamode,E03D19,EXAM,REGISTERED,None
arethari,E03D19,EXAM,ASSIGNED,None
artieulr,E03D19,EXAM,IN_PROGRESS,None
auradaba,E03D19,EXAM,ASSIGNED,None
baileyre,E03D19,EXAM,ASSIGNED,None
balonchr,E03D19,EXAM,ASSIGNED,None
balonsno,E03D19,EXAM,ASSIGNED,None
bantamko,E03D19,EXAM,REGISTERED,None
barbrawu,E03D19,EXAM,ASSIGNED,None
bethelgr,E03D19,EXAM,REGISTERED,None
billysan,E03D19,EXAM,ASSIGNED,None
bornpatr,E03D19,EXAM,ASSIGNED,None
brentonc,E03D19,EXAM,IN_PROGRESS,None
brucetoy,E03D19,EXAM,ASSIGNED,None
brunavan,E03D19,EXAM,ASSIGNED,None
caitdumb,E03D19,EXAM,ASSIGNED,None
caladanl,E03D19,EXAM,ASSIGNED,None
careymis,E03D19,EXAM,IN_PROGRESS,None
caswelld,E03D19,EXAM,ASSIGNED,None
caswellq,E03D19,EXAM,IN_PROGRESS,None
celsafer,E03D19,EXAM,IN_PROGRESS,None
chesthil,E03D19,EXAM,REGISTERED,None
chestshr,E03D19,EXAM,REGISTERED,None
cindiese,E03D19,EXAM,ASSIGNED,None
cotterge,E03D19,EXAM,FAILED,0
crowbrya,E03D19,EXAM,IN_PROGRESS,None
cumquatl,E03D19,EXAM,ASSIGNED,None
cyrusgar,E03D19,EXAM,FAILED,0
darcytaj,E03D19,EXAM,ASSIGNED,None
daynasar,E03D19,EXAM,FAILED,0
deodatth,E03D19,EXAM,FAILED,0
desperop,E03D19,EXAM,FAILED,0
dhansakp,E03D19,EXAM,ASSIGNED,None
dianeevi,E03D19,EXAM,REGISTERED,None
diedraje,E03D19,EXAM,FAILED,0
diedrero,E03D19,EXAM,FAILED,0
dorrisst,E03D19,EXAM,FAILED,0
effietif,E03D19,EXAM,FAILED,0
eladiare,E03D19,EXAM,FAILED,0
elannama,E03D19,EXAM,FAILED,0
elijahth,E03D19,EXAM,FAILED,0
ellabaie,E03D19,EXAM,FAILED,0
elliottd,E03D19,EXAM,IN_PROGRESS,None
enokiatk,E03D19,EXAM,FAILED,0
erenacla,E03D19,EXAM,FAILED,0
essieale,E03D19,EXAM,FAILED,0
ethicalc,E03D19,EXAM,FAILED,0
eulaurro,E03D19,EXAM,FAILED,0
evenstar,E03D19,EXAM,FAILED,0
farrahro,E03D19,EXAM,FAILED,0
fenrircr,E03D19,EXAM,REGISTERED,None
flammezo,E03D19,EXAM,FAILED,0
fletamal,E03D19,EXAM,FAILED,0
frynneli,E03D19,EXAM,REGISTERED,None
galinagl,E03D19,EXAM,REGISTERED,None
gauntter,E03D19,EXAM,FAILED,0
geroldke,E03D19,EXAM,FAILED,0
gerstens,E03D19,EXAM,FAILED,0
gladisde,E03D19,EXAM,IN_PROGRESS,None
gruntinf,E03D19,EXAM,FAILED,0
haywardt,E03D19,EXAM,FAILED,0
hilaryle,E03D19,EXAM,REGISTERED,None
hothoreg,E03D19,EXAM,REGISTERED,None
howdjese,E03D19,EXAM,FAILED,0
ibleelec,E03D19,EXAM,IN_PROGRESS,None
illaoiar,E03D19,EXAM,FAILED,0
isaacshe,E03D19,EXAM,FAILED,0
jamissaf,E03D19,EXAM,IN_PROGRESS,None
jasperal,E03D19,EXAM,FAILED,0
jeramymi,E03D19,EXAM,FAILED,0
joanacla,E03D19,EXAM,FAILED,0
johnnyge,E03D19,EXAM,REGISTERED,None
johnsien,E03D19,EXAM,FAILED,0
jothskin,E03D19,EXAM,FAILED,0
jovansha,E03D19,EXAM,IN_PROGRESS,None
judicarm,E03D19,EXAM,REGISTERED,None
kaciemag,E03D19,EXAM,REGISTERED,None
kafkanor,E03D19,EXAM,REGISTERED,None
karinwin,E03D19,EXAM,FAILED,0
kelleeta,E03D19,EXAM,IN_PROGRESS,None
keytarni,E03D19,EXAM,FAILED,0
kitschel,E03D19,EXAM,IN_PROGRESS,None
kramerpe,E03D19,EXAM,IN_PROGRESS,None
kriskath,E03D19,EXAM,FAILED,0
laciedel,E03D19,EXAM,REGISTERED,None
lacyshin,E03D19,EXAM,FAILED,0
ladderpe,E03D19,EXAM,REGISTERED,None
lainepab,E03D19,EXAM,FAILED,0
lainepro,E03D19,EXAM,REGISTERED,None
lalakrys,E03D19,EXAM,IN_PROGRESS,None
lannithe,E03D19,EXAM,FAILED,0
largomor,E03D19,EXAM,REGISTERED,None
likttrad,E03D19,EXAM,FAILED,0
lomokraz,E03D19,EXAM,FAILED,0
lonnalar,E03D19,EXAM,FAILED,0
lopeshig,E03D19,EXAM,FAILED,0
lordarde,E03D19,EXAM,FAILED,0
loreanko,E03D19,EXAM,REGISTERED,None
loreleir,E03D19,EXAM,REGISTERED,None
luthorsh,E03D19,EXAM,REGISTERED,None
magdacer,E03D19,EXAM,FAILED,0
mahialmo,E03D19,EXAM,REGISTERED,None
malleonc,E03D19,EXAM,IN_PROGRESS,None
mandakar,E03D19,EXAM,FAILED,0
marquisd,E03D19,EXAM,FAILED,0
mashacar,E03D19,EXAM,REGISTERED,None
matchpar,E03D19,EXAM,FAILED,0
matildae,E03D19,EXAM,FAILED,0
maulange,E03D19,EXAM,FAILED,0
mellieja,E03D19,EXAM,FAILED,0
millydav,E03D19,EXAM,IN_PROGRESS,None
minellar,E03D19,EXAM,FAILED,0
missmath,E03D19,EXAM,REGISTERED,None
mollensh,E03D19,EXAM,FAILED,0
mormontl,E03D19,EXAM,FAILED,0
muckstri,E03D19,EXAM,FAILED,0
mudcraby,E03D19,EXAM,FAILED,0
nailsmar,E03D19,EXAM,FAILED,0
naomanub,E03D19,EXAM,IN_PROGRESS,None
ninfasee,E03D19,EXAM,FAILED,0
nonastar,E03D19,EXAM,REGISTERED,None
nonawait,E03D19,EXAM,REGISTERED,None
norreyma,E03D19,EXAM,REGISTERED,None
okraeuni,E03D19,EXAM,FAILED,0
opalreel,E03D19,EXAM,FAILED,0
orionmet,E03D19,EXAM,REGISTERED,None
parvatir,E03D19,EXAM,FAILED,0
pearliec,E03D19,EXAM,FAILED,0
pepitasl,E03D19,EXAM,REGISTERED,None
qarlforn,E03D19,EXAM,FAILED,0
ramsaydr,E03D19,EXAM,FAILED,0
raymondk,E03D19,EXAM,IN_PROGRESS,None
reathabo,E03D19,EXAM,IN_PROGRESS,None
rendadew,E03D19,EXAM,FAILED,0
richtyre,E03D19,EXAM,IN_PROGRESS,None
rinkofle,E03D19,EXAM,FAILED,0
rockypot,E03D19,EXAM,FAILED,0
rogantom,E03D19,EXAM,REGISTERED,None
rosaural,E03D19,EXAM,FAILED,0
salazarc,E03D19,EXAM,IN_PROGRESS,None
salviagl,E03D19,EXAM,FAILED,0
scheinsh,E03D19,EXAM,FAILED,0
seastarn,E03D19,EXAM,FAILED,0
selmypai,E03D19,EXAM,FAILED,0
semeleem,E03D19,EXAM,FAILED,0
sharladi,E03D19,EXAM,FAILED,0
shawnnag,E03D19,EXAM,FAILED,0
shenrodu,E03D19,EXAM,FAILED,0
shettdee,E03D19,EXAM,FAILED,0
solegraz,E03D19,EXAM,IN_PROGRESS,None
staceeca,E03D19,EXAM,REGISTERED,None
steelyow,E03D19,EXAM,IN_PROGRESS,None
sundaehi,E03D19,EXAM,FAILED,0
tamekath,E03D19,EXAM,FAILED,0
templema,E03D19,EXAM,IN_PROGRESS,None
tendantc,E03D19,EXAM,FAILED,0
terralip,E03D19,EXAM,FAILED,0
tesskyok,E03D19,EXAM,FAILED,0
tiesemoo,E03D19,EXAM,IN_PROGRESS,None
tolletth,E03D19,EXAM,FAILED,0
tucodaug,E03D19,EXAM,IN_PROGRESS,None
tweakcri,E03D19,EXAM,FAILED,0
veigarde,E03D19,EXAM,IN_PROGRESS,None
vinniegr,E03D19,EXAM,FAILED,0
virgenst,E03D19,EXAM,FAILED,0
vixenpro,E03D19,EXAM,IN_PROGRESS,None
watersri,E03D19,EXAM,IN_PROGRESS,None
wendyken,E03D19,EXAM,FAILED,0
xerathma,E03D19,EXAM,IN_PROGRESS,None
yuunacad,E03D19,EXAM,FAILED,0
yuunaela,E03D19,EXAM,FAILED,0
adrienla,E03D19,EXAM,REGISTERED,None
aemongli,E03D19,EXAM,FAILED,0
albinali,E03D19,EXAM,REGISTERED,None
alexiaki,E03D19,EXAM,REGISTERED,None
amymoneg,E03D19,EXAM,FAILED,0
aprilkiz,E03D19,EXAM,REGISTERED,None
ardellaa,E03D19,EXAM,FAILED,0
arlettaw,E03D19,EXAM,FAILED,0
arneldlo,E03D19,EXAM,FAILED,0
arnitaho,E03D19,EXAM,REGISTERED,None
arwenhel,E03D19,EXAM,FAILED,0
auroreex,E03D19,EXAM,FAILED,0
avengerm,E03D19,EXAM,FAILED,0
azzielan,E03D19,EXAM,FAILED,0
bandybry,E03D19,EXAM,FAILED,0
barbracr,E03D19,EXAM,REGISTERED,None
bellyreg,E03D19,EXAM,FAILED,0
billietr,E03D19,EXAM,FAILED,0
billywil,E03D19,EXAM,FAILED,0
blaisele,E03D19,EXAM,FAILED,0
borvojor,E03D19,EXAM,FAILED,0
bradbigg,E03D19,EXAM,IN_PROGRESS,None
breamblo,E03D19,EXAM,REGISTERED,None
broggcas,E03D19,EXAM,IN_PROGRESS,None
capersel,E03D19,EXAM,FAILED,0
carlysea,E03D19,EXAM,FAILED,0
carmelal,E03D19,EXAM,FAILED,0
casieigg,E03D19,EXAM,REGISTERED,None
casseydo,E03D19,EXAM,IN_PROGRESS,None
chadzula,E03D19,EXAM,REGISTERED,None
chuckalf,E03D19,EXAM,FAILED,0
clockver,E03D19,EXAM,FAILED,0
collioqy,E03D19,EXAM,FAILED,0
crackedc,E03D19,EXAM,FAILED,0
dagmarja,E03D19,EXAM,FAILED,0
dagnybea,E03D19,EXAM,FAILED,0
dareonhe,E03D19,EXAM,REGISTERED,None
darialif,E03D19,EXAM,FAILED,0
delilagl,E03D19,EXAM,FAILED,0
dexterla,E03D19,EXAM,REGISTERED,None
dhazzarn,E03D19,EXAM,IN_PROGRESS,None
dodieozz,E03D19,EXAM,FAILED,0
dolliema,E03D19,EXAM,FAILED,0
donaldwi,E03D19,EXAM,FAILED,0
dwightgr,E03D19,EXAM,FAILED,0
eddawhit,E03D19,EXAM,FAILED,0
elkelync,E03D19,EXAM,FAILED,0
elletand,E03D19,EXAM,FAILED,0
faliakyl,E03D19,EXAM,FAILED,0
farlenpe,E03D19,EXAM,REGISTERED,None
feijoaru,E03D19,EXAM,FAILED,0
fenixfre,E03D19,EXAM,FAILED,0
fetamimi,E03D19,EXAM,FAILED,0
fisherha,E03D19,EXAM,FAILED,0
flannelf,E03D19,EXAM,FAILED,0
forthlas,E03D19,EXAM,FAILED,0
gagethem,E03D19,EXAM,REGISTERED,None
genjifal,E03D19,EXAM,REGISTERED,None
gilwoode,E03D19,EXAM,FAILED,0
gladyspa,E03D19,EXAM,FAILED,0
gojireel,E03D19,EXAM,FAILED,0
goldeene,E03D19,EXAM,FAILED,0
gungance,E03D19,EXAM,FAILED,0
haldercy,E03D19,EXAM,FAILED,0
harclayl,E03D19,EXAM,FAILED,0
harragbe,E03D19,EXAM,FAILED,0
harwoodd,E03D19,EXAM,REGISTERED,None
hedygaly,E03D19,EXAM,REGISTERED,None
hungsher,E03D19,EXAM,FAILED,0
ilynfitz,E03D19,EXAM,FAILED,0
imogenek,E03D19,EXAM,FAILED,0
jamisonr,E03D19,EXAM,FAILED,0
janessav,E03D19,EXAM,FAILED,0
jaymeoda,E03D19,EXAM,FAILED,0
jeannaha,E03D19,EXAM,REGISTERED,None
jennellb,E03D19,EXAM,REGISTERED,None
jeorsoli,E03D19,EXAM,FAILED,0
jesslawa,E03D19,EXAM,FAILED,0
jinnjadz,E03D19,EXAM,IN_PROGRESS,None
joannear,E03D19,EXAM,FAILED,0
johanath,E03D19,EXAM,FAILED,0
jungbran,E03D19,EXAM,IN_PROGRESS,None
juniperd,E03D19,EXAM,FAILED,0
justinac,E03D19,EXAM,IN_PROGRESS,None
kariefan,E03D19,EXAM,FAILED,0
karitick,E03D19,EXAM,REGISTERED,None
katijose,E03D19,EXAM,IN_PROGRESS,None
kerstinb,E03D19,EXAM,FAILED,0
khankeri,E03D19,EXAM,FAILED,0
khaylama,E03D19,EXAM,REGISTERED,None
kilidied,E03D19,EXAM,FAILED,0
knapprit,E03D19,EXAM,REGISTERED,None
krexsant,E03D19,EXAM,FAILED,0
kristana,E03D19,EXAM,IN_PROGRESS,None
langgilf,E03D19,EXAM,FAILED,0
lashonsa,E03D19,EXAM,IN_PROGRESS,None
laynehoo,E03D19,EXAM,FAILED,0
lindsypi,E03D19,EXAM,FAILED,0
linettew,E03D19,EXAM,REGISTERED,None
littlean,E03D19,EXAM,FAILED,0
lorenzox,E03D19,EXAM,FAILED,0
loriahal,E03D19,EXAM,FAILED,0
louiejor,E03D19,EXAM,IN_PROGRESS,None
lourabet,E03D19,EXAM,FAILED,0
lubakase,E03D19,EXAM,FAILED,0
luciewyn,E03D19,EXAM,FAILED,0
lyjabruc,E03D19,EXAM,REGISTERED,None
lymancug,E03D19,EXAM,FAILED,0
maguspun,E03D19,EXAM,IN_PROGRESS,None
mallusok,E03D19,EXAM,REGISTERED,None
marquisf,E03D19,EXAM,FAILED,0
masseyno,E03D19,EXAM,FAILED,0
maudiear,E03D19,EXAM,IN_PROGRESS,None
maurolua,E03D19,EXAM,FAILED,0
merceran,E03D19,EXAM,REGISTERED,None
merriehe,E03D19,EXAM,IN_PROGRESS,None
mezzaras,E03D19,EXAM,IN_PROGRESS,None
mikeland,E03D19,EXAM,FAILED,0
millansl,E03D19,EXAM,FAILED,0
minellaq,E03D19,EXAM,REGISTERED,None
mintaale,E03D19,EXAM,FAILED,0
mundagoo,E03D19,EXAM,FAILED,0
naerysem,E03D19,EXAM,FAILED,0
nollapre,E03D19,EXAM,FAILED,0
odenmjol,E03D19,EXAM,IN_PROGRESS,None
olyvarca,E03D19,EXAM,IN_PROGRESS,None
oureadag,E03D19,EXAM,REGISTERED,None
patrekso,E03D19,EXAM,FAILED,0
patricea,E03D19,EXAM,FAILED,0
pohlbent,E03D19,EXAM,IN_PROGRESS,None
poolejun,E03D19,EXAM,FAILED,0
postbell,E03D19,EXAM,FAILED,0
powerspo,E03D19,EXAM,REGISTERED,None
pressedm,E03D19,EXAM,REGISTERED,None
rafaelno,E03D19,EXAM,FAILED,0
riddlerd,E03D19,EXAM,FAILED,0
rodgerwi,E03D19,EXAM,FAILED,0
ronnyphy,E03D19,EXAM,FAILED,0
roryeste,E03D19,EXAM,FAILED,0
rosalvat,E03D19,EXAM,REGISTERED,None
rosellag,E03D19,EXAM,REGISTERED,None
rudderju,E03D19,EXAM,FAILED,0
rudyruss,E03D19,EXAM,IN_PROGRESS,None
selinast,E03D19,EXAM,FAILED,0
shainadi,E03D19,EXAM,FAILED,0
shanekae,E03D19,EXAM,FAILED,0
slyntgiz,E03D19,EXAM,FAILED,0
spockvic,E03D19,EXAM,IN_PROGRESS,None
spykeves,E03D19,EXAM,FAILED,0
staceybu,E03D19,EXAM,FAILED,0
stewfurt,E03D19,EXAM,IN_PROGRESS,None
stooparn,E03D19,EXAM,IN_PROGRESS,None
stoopsam,E03D19,EXAM,REGISTERED,None
swarmber,E03D19,EXAM,REGISTERED,None
tamekati,E03D19,EXAM,FAILED,0
tannerke,E03D19,EXAM,FAILED,0
texankar,E03D19,EXAM,FAILED,0
texannor,E03D19,EXAM,REGISTERED,None
toffeeba,E03D19,EXAM,FAILED,0
tommiema,E03D19,EXAM,FAILED,0
tresaemr,E03D19,EXAM,FAILED,0
ullervin,E03D19,EXAM,REGISTERED,None
ultrazam,E03D19,EXAM,FAILED,0
varamyrm,E03D19,EXAM,REGISTERED,None
vedamalk,E03D19,EXAM,FAILED,0
venmohot,E03D19,EXAM,FAILED,0
wilforda,E03D19,EXAM,IN_PROGRESS,None
winsomkr,E03D19,EXAM,FAILED,0
yandryme,E03D19,EXAM,REGISTERED,None
yatesree,E03D19,EXAM,FAILED,0
yokoeffu,E03D19,EXAM,FAILED,0
yonnmoll,E03D19,EXAM,FAILED,0
yorenmur,E03D19,EXAM,FAILED,0
zadaayan,E03D19,EXAM,REGISTERED,None
aileenqi,E03D19,EXAM,FAILED,0
alestera,E03D19,EXAM,FAILED,0
andrikfu,E03D19,EXAM,REGISTERED,None
aniseedp,E03D19,EXAM,REGISTERED,None
annettab,E03D19,EXAM,IN_PROGRESS,None
annikagy,E03D19,EXAM,FAILED,0
assuntaw,E03D19,EXAM,FAILED,0
avengerd,E03D19,EXAM,IN_PROGRESS,None
azariyac,E03D19,EXAM,FAILED,0
azziemor,E03D19,EXAM,FAILED,0
babudeet,E03D19,EXAM,FAILED,0
bennette,E03D19,EXAM,IN_PROGRESS,None
bertbria,E03D19,EXAM,REGISTERED,None
bishopni,E03D19,EXAM,FAILED,0
boothmil,E03D19,EXAM,FAILED,0
boycetor,E03D19,EXAM,FAILED,0
bradlych,E03D19,EXAM,FAILED,0
briancom,E03D19,EXAM,FAILED,0
brunchme,E03D19,EXAM,FAILED,0
bugghanc,E03D19,EXAM,FAILED,0
byrchail,E03D19,EXAM,IN_PROGRESS,None
caeneusf,E03D19,EXAM,FAILED,0
carrolsu,E03D19,EXAM,IN_PROGRESS,None
chantayz,E03D19,EXAM,IN_PROGRESS,None
charlynm,E03D19,EXAM,FAILED,0
cheddara,E03D19,EXAM,FAILED,0
cherehaw,E03D19,EXAM,FAILED,0
chipgoos,E03D19,EXAM,IN_PROGRESS,None
clowndea,E03D19,EXAM,FAILED,0
clymeneh,E03D19,EXAM,FAILED,0
colinmar,E03D19,EXAM,FAILED,0
corrined,E03D19,EXAM,REGISTERED,None
cotterbr,E03D19,EXAM,IN_PROGRESS,None
creambri,E03D19,EXAM,REGISTERED,None
daxoslis,E03D19,EXAM,FAILED,0
daylelil,E03D19,EXAM,FAILED,0
delenate,E03D19,EXAM,FAILED,0
denimjud,E03D19,EXAM,FAILED,0
dignasab,E03D19,EXAM,FAILED,0
dinashem,E03D19,EXAM,IN_PROGRESS,None
dingleak,E03D19,EXAM,FAILED,0
dogeadar,E03D19,EXAM,FAILED,0
dollarty,E03D19,EXAM,REGISTERED,None
drowzeev,E03D19,EXAM,REGISTERED,None
duffmanv,E03D19,EXAM,FAILED,0
edwinama,E03D19,EXAM,FAILED,0
ellanman,E03D19,EXAM,FAILED,0
elphiasb,E03D19,EXAM,REGISTERED,None
emeraldb,E03D19,EXAM,FAILED,0
emeraldm,E03D19,EXAM,FAILED,0
eulabrad,E03D19,EXAM,FAILED,0
falmerle,E03D19,EXAM,REGISTERED,None
forelecc,E03D19,EXAM,FAILED,0
franzend,E03D19,EXAM,FAILED,0
frenyale,E03D19,EXAM,FAILED,0
fromagep,E03D19,EXAM,IN_PROGRESS,None
garlicgo,E03D19,EXAM,IN_PROGRESS,None
gayteboo,E03D19,EXAM,FAILED,0
gerdurig,E03D19,EXAM,IN_PROGRESS,None
ginojenn,E03D19,EXAM,FAILED,0
gladyjar,E03D19,EXAM,FAILED,0
gorghant,E03D19,EXAM,FAILED,0
gragaskr,E03D19,EXAM,FAILED,0
grandpaw,E03D19,EXAM,IN_PROGRESS,None
greedoma,E03D19,EXAM,FAILED,0
