student,title,type,status,final score
advisorj,T05D08,INDIVIDUAL,FAILED,0
almedace,T05D08,INDIVIDUAL,FAILED,0
amadagra,T05D08,INDIVIDUAL,ACCEPTED,86
amandaci,T05D08,INDIVIDUAL,ACCEPTED,84
anyamode,T05D08,INDIVIDUAL,ACCEPTED,86
arethari,T05D08,INDIVIDUAL,FAILED,0
artieulr,T05D08,INDIVIDUAL,ACCEPTED,78
auradaba,T05D08,INDIVIDUAL,FAILED,0
baileyre,T05D08,INDIVIDUAL,FAILED,0
balonchr,T05D08,INDIVIDUAL,FAILED,0
balonsno,T05D08,INDIVIDUAL,FAILED,0
bantamko,T05D08,INDIVIDUAL,FAILED,0
barbrawu,T05D08,INDIVIDUAL,FAILED,0
bethelgr,T05D08,INDIVIDUAL,FAILED,0
billysan,T05D08,INDIVIDUAL,FAILED,0
bornpatr,T05D08,INDIVIDUAL,FAILED,0
brentonc,T05D08,INDIVIDUAL,ACCEPTED,95
brucetoy,T05D08,INDIVIDUAL,FAILED,0
brunavan,T05D08,INDIVIDUAL,FAILED,0
caitdumb,T05D08,INDIVIDUAL,FAILED,0
caladanl,T05D08,INDIVIDUAL,FAILED,0
careymis,T05D08,INDIVIDUAL,FAILED,0
caswelld,T05D08,INDIVIDUAL,FAILED,0
caswellq,T05D08,INDIVIDUAL,ACCEPTED,95
celsafer,T05D08,INDIVIDUAL,ACCEPTED,88
chesthil,T05D08,INDIVIDUAL,FAILED,0
chestshr,T05D08,INDIVIDUAL,ACCEPTED,78
cindiese,T05D08,INDIVIDUAL,FAILED,0
cotterge,T05D08,INDIVIDUAL,FAILED,0
crowbrya,T05D08,INDIVIDUAL,FAILED,0
cumquatl,T05D08,INDIVIDUAL,FAILED,0
cyrusgar,T05D08,INDIVIDUAL,FAILED,0
darcytaj,T05D08,INDIVIDUAL,FAILED,0
daynasar,T05D08,INDIVIDUAL,FAILED,0
deodatth,T05D08,INDIVIDUAL,FAILED,0
desperop,T05D08,INDIVIDUAL,FAILED,0
dhansakp,T05D08,INDIVIDUAL,FAILED,0
dianeevi,T05D08,INDIVIDUAL,FAILED,0
diedraje,T05D08,INDIVIDUAL,FAILED,0
diedrero,T05D08,INDIVIDUAL,FAILED,0
dorrisst,T05D08,INDIVIDUAL,FAILED,0
effietif,T05D08,INDIVIDUAL,FAILED,0
eladiare,T05D08,INDIVIDUAL,FAILED,0
elannama,T05D08,INDIVIDUAL,FAILED,0
elijahth,T05D08,INDIVIDUAL,FAILED,0
ellabaie,T05D08,INDIVIDUAL,FAILED,0
elliottd,T05D08,INDIVIDUAL,ACCEPTED,83
enokiatk,T05D08,INDIVIDUAL,FAILED,0
erenacla,T05D08,INDIVIDUAL,FAILED,0
essieale,T05D08,INDIVIDUAL,FAILED,0
ethicalc,T05D08,INDIVIDUAL,FAILED,0
eulaurro,T05D08,INDIVIDUAL,FAILED,0
evenstar,T05D08,INDIVIDUAL,FAILED,0
farrahro,T05D08,INDIVIDUAL,FAILED,0
fenrircr,T05D08,INDIVIDUAL,FAILED,0
flammezo,T05D08,INDIVIDUAL,FAILED,0
fletamal,T05D08,INDIVIDUAL,FAILED,0
frynneli,T05D08,INDIVIDUAL,FAILED,0
galinagl,T05D08,INDIVIDUAL,FAILED,0
gauntter,T05D08,INDIVIDUAL,FAILED,0
geroldke,T05D08,INDIVIDUAL,FAILED,0
gerstens,T05D08,INDIVIDUAL,FAILED,0
gladisde,T05D08,INDIVIDUAL,FAILED,0
